User	DL	UD	PT	UP	PM	BL	UB	BM	UR	RM	Total
Chaser	1966	85	275	40	34	819	109	2	0	8	3338
Chell and the cake	0	0	2	0	0	0	0	0	0	0	2
Chessnotator1967	0	0	1	0	0	0	0	0	0	0	1
Chick Bowen	4614	194	69	14	1	135	30	0	0	1	5058
Chillum	1426	22	41	8	6	507	35	30	0	4	2079
Chmod007	13	2	2	0	0	1	1	0	0	0	19
Chochopk	27	37	1	0	0	2	1	0	0	0	68
Choess	6	4	0	0	0	0	0	0	0	0	10
Cholmes75	4579	10	26	0	0	112	3	0	0	0	4730
Chris 73	1928	15	46	8	0	687	30	3	0	0	2717
Chris G	4929	33	226	15	29	1803	69	210	0	6	7320
Chris Roy	3	0	0	0	0	1	0	0	0	0	4
ChrisGriswold	1126	16	51	8	0	210	21	0	0	0	1432
ChrisO	2231	14	331	63	33	753	39	1	0	0	3465
ChrisTheDude	671	10	6	0	0	13	2	0	0	0	702
Chrislk02	4029	60	133	21	8	1627	91	12	0	5	5986
Christopher Mahan	38	5	0	0	0	0	0	0	0	0	43
Christopher Parham	495	6	4	2	0	24	1	0	0	0	532
Christopher Sundita	61	38	7	4	0	17	2	0	0	0	129
Chuck SMITH	0	1	0	0	0	0	0	0	0	0	1
Chunky Rice	342	1	4	3	0	31	2	0	0	0	383
Chuq	214	19	13	2	1	93	6	0	0	0	348
CieloEstrellado	0	0	1	0	0	0	0	0	0	0	1
Cimon Avaro	211	10	2	5	1	4	0	0	6	2	241
Circeus	1701	8	50	27	0	155	13	0	0	0	1954
Cirt	3285	38	188	6	20	1334	14	6	0	1	4892
Citicat	685	14	20	1	0	33	4	0	0	0	757
Ck lostsword	308	4	13	1	5	308	16	0	0	0	655
Ckatz	1064	40	154	5	22	481	18	6	0	1	1791
Clarkk	23	0	0	1	0	0	0	0	0	0	24
Cleared as filed	1345	19	0	0	0	53	2	0	0	0	1419
Climie.ca	0	0	1	0	0	10	1	1	0	1	14
ClockworkLunch	20	4	11	1	0	4	0	0	0	0	40
ClockworkSoul	750	46	36	7	4	212	19	3	0	0	1077
Closedmouth	1191	13	2	0	0	100	3	4	0	1	1314
CloudNine	422	15	24	1	2	32	2	0	0	0	498
ClueBot	0	0	1	0	0	0	0	0	0	0	1
Cnwb	661	11	0	0	0	23	2	0	0	0	697
Cobaltbluetony	5912	79	399	24	7	336	18	0	0	0	6775
Coelacan	1194	30	85	10	1	845	53	0	0	0	2218
Coffee	774	52	79	6	35	224	8	0	0	2	1180
Coffeedrinker87	0	0	1	0	0	0	0	0	0	0	1
Cohesion	6785	40	2	15	1	3	0	0	0	0	6846
Commander Keane	4747	219	38	22	0	118	29	0	0	0	5173
Conscious	13439	65	2	2	0	56	0	0	0	0	13564
Consumed Crustacean	729	22	42	3	1	351	36	0	0	0	1184
Conti	457	41	12	38	1	70	3	0	0	1	623
Cool Hand Luke	884	548	56	8	20	68	15	0	0	0	1599
Coralmizu	159	2	23	1	2	46	2	0	0	0	235
Coredesat	11148	136	235	25	11	494	60	0	0	0	12109
Coren	819	20	49	7	4	172	34	2	0	1	1108
Cowman109	431	36	101	43	4	360	44	0	0	0	1019
Craigy144	3095	11	8	3	1	38	0	0	0	0	3156
Crazycomputers	439	8	54	15	5	680	40	0	0	1	1242
Crazytales	156	15	18	1	2	117	18	0	0	0	327
Cremepuff222	173	5	3	2	1	95	3	0	0	0	282
Croat Canuck	83	3	1	1	0	5	1	0	0	0	94
Crum375	168	18	84	6	3	208	12	0	0	0	499
Cryptic	9383	238	136	15	1	322	21	0	0	0	10116
CryptoDerk	1091	1	67	9	0	1014	45	0	0	0	2227
Crzrussian	5139	133	156	28	0	150	13	0	0	0	5619
Cuchullain	240	38	8	0	2	28	0	0	0	0	316
Curps	5148	166	461	101	0	26558	1065	0	0	0	33499
Cutler	69	0	0	0	0	7	0	0	0	0	76
CyborgTosser	2	0	0	0	0	0	0	0	0	0	2
Cyde	19064	106	258	32	2	829	168	0	0	0	20459
Cydebot	5735	0	0	0	0	0	0	0	0	0	5735
Cyp	3	0	0	0	0	0	0	0	0	0	3
Cyrius	1614	99	26	13	0	68	8	0	0	0	1828
D. Recorder	172	18	2	0	0	34	2	0	0	0	228
DDima	517	8	1	0	0	1	0	0	0	0	527
DESiegel	892	112	9	2	0	40	29	0	0	0	1084
DGG	7328	182	131	4	10	106	9	5	0	0	7775
DJ Clayworth	5136	29	37	11	0	281	18	0	0	0	5512
DMacks	3699	35	238	8	27	552	11	13	0	0	4583
DO11.10	417	28	2	0	0	2	1	0	0	2	452
DVD R W	6096	53	54	17	7	962	21	0	0	3	7213
DaGizza	833	1	7	4	1	53	3	0	0	0	902
Dale Arnett	67	1	2	0	0	4	0	0	0	0	74
Dan100	294	16	18	12	0	186	44	0	0	0	570
DanKeshet	104	1	6	0	0	2	0	0	0	0	113
DanMS	65	0	2	1	0	0	0	0	0	0	68
Danaman5	257	4	6	0	0	4	4	0	0	1	276
Daniel	4756	255	618	40	63	551	73	4	0	13	6373
Daniel Case	2249	32	241	15	7	4126	136	22	0	1	6829
Daniel J. Leivick	649	7	15	1	0	67	5	0	0	0	744
Daniel Olsen	711	1	10	0	0	84	2	0	0	0	808
Daniel Quinlan	54	2	0	2	0	2	0	0	0	0	60
DanielCD	243	1	15	11	0	37	2	0	0	0	309
Dank	2481	28	46	3	1	173	2	2	0	1	2737
Danny	1072	126	26	9	0	105	29	0	4	6	1377
Dannyisme	5	0	4	0	0	2	2	0	0	0	13
Dante Alighieri	651	18	20	17	3	175	29	0	0	0	913
DarkFalls	2607	140	294	37	70	700	41	3	0	5	3897
Darkoneko	0	0	0	0	0	1	0	0	1	0	2
Darthgriz98	249	4	5	0	0	115	2	0	0	0	375
Darwinek	2143	13	68	5	0	189	6	0	0	0	2424
Dave souza	76	3	13	2	0	500	20	1	0	0	615
Davewild	2767	39	2	3	0	371	1	0	0	0	3183
Daveydweeb	134	1	2	0	0	4	1	0	0	0	142
David D.	24	4	11	0	3	9	1	0	0	0	52
David Eppstein	2059	21	28	7	0	37	1	1	0	0	2154
David Fuchs	855	23	53	2	10	80	7	0	0	0	1030
David Gerard	525	43	67	7	1	1439	357	0	0	1	2440
David Kernow	635	5	45	0	0	0	0	0	0	0	685
David Levy	835	111	211	58	3	135	10	0	0	4	1367
David Newton	54	3	4	0	0	12	12	0	0	0	85
David.Monniaux	508	60	98	13	0	215	28	1	0	0	923
DavidLevinson	35	51	9	0	0	9	0	0	0	0	104
DavidWBrooks	1203	1	12	2	1	94	0	0	0	0	1313
Davidcannon	154	57	30	4	0	135	26	0	0	0	406
Davidgothberg	66	55	84	6	28	19	6	0	0	0	264
Davidruben	27	0	7	1	1	78	2	0	0	0	116
Davodd	191	29	3	3	1	23	1	0	0	0	251
Dbachmann	374	28	115	40	10	186	19	1	0	0	773
Dbenbenn	6085	109	260	583	0	26	7	0	0	0	7070
Dcoetzee	310	43	8	2	0	48	9	0	0	1	421
Ddstretch	13	0	20	5	6	207	20	6	0	0	277
Deacon of Pndapetzim	504	15	26	2	3	154	9	12	0	1	726
DeadEyeArrow	934	14	26	5	0	199	6	0	0	0	1184
Deathphoenix	1168	49	17	5	0	418	80	0	0	0	1737
Deb	12646	46	22	1	0	297	4	1	0	0	13017
Deckiller	1228	35	80	14	2	300	46	0	0	0	1705
Decumanus	42	0	3	0	0	12	0	0	0	0	57
Deiz	951	15	161	8	2	392	20	0	0	0	1549
Dekimasu	690	43	10	1	0	13	0	0	0	0	757
Delirium	3467	22	20	11	0	305	18	0	0	0	3843
Delldot	1572	23	15	6	1	606	9	0	0	0	2232
Deltabeignet	836	1	5	6	0	130	2	0	0	0	980
Demi	151	32	2	1	0	51	17	0	0	0	254
Denelson83	1132	17	56	12	11	36	6	0	0	0	1270
Denni	2324	30	23	3	0	5	0	0	0	0	2385
DerHexer	134614	42	89	3	5	5837	38	2	0	19	140649
Derek Ross	521	11	11	3	3	1	0	0	0	0	550
Deryck Chan	1	1	0	2	0	1	0	0	0	0	5
Deskana	1342	86	212	76	15	983	109	29	322	144	3318
Deville	779	5	14	1	0	116	2	0	0	0	917
Dfrg.msc	35	1	0	0	0	7	0	0	0	0	43
Dgies	575	29	27	4	3	223	18	0	0	2	881
Dgrant	0	0	1	0	0	0	0	0	0	0	1
Diberri	121	3	3	1	0	5	0	0	0	0	133
Dieter Simon	3	0	18	0	1	0	0	0	0	0	22
Dijxtra	135	6	13	6	0	36	4	0	0	0	200
Dina	3371	18	49	1	0	273	5	0	0	0	3717
Dino	22	0	0	0	0	0	0	0	0	0	22
Discospinster	13608	347	122	8	12	1079	6	6	0	0	15188
Djsasso	950	167	29	5	2	342	7	0	0	8	1510
Dlohcierekim	4802	102	134	6	11	377	33	9	0	1	5475
Dmn	35	1	10	4	0	12	15	0	0	0	77
Doc glasgow	4087	123	370	42	11	1060	83	0	0	42	5818
Docu	1134	59	121	2	5	11	4	0	0	2	1338
Doczilla	69	2	9	6	0	85	8	0	0	0	179
Dominic	13247	57	80	186	1	3035	629	11	0	32	17278
Donald Albury	1042	3	7	2	2	108	4	0	0	0	1168
DoomsDay349	222	4	0	0	0	0	0	0	0	0	226
Dori	11	0	0	0	0	2	2	0	0	0	15
Doug	244	12	9	8	0	13	3	0	0	3	292
Doug Bell	2427	36	29	12	0	25	3	0	0	0	2532
Dougweller	192	2	79	8	18	540	16	16	0	0	871
Dpbsmith	132	4	3	2	0	17	0	0	0	0	158
Dppowell	4	0	5	0	0	112	6	0	0	0	127
DrBob	17	1	0	0	0	7	0	0	0	0	25
DrKiernan	1221	16	30	4	3	118	7	0	0	0	1399
DragonflySixtyseven	19135	301	317	33	7	4018	178	128	0	0	24117
Dragons flight	608	63	107	35	0	110	28	0	0	1	952
Dravecky	341	3	71	2	0	0	0	0	0	0	417
Dreadstar	904	64	217	11	13	1754	96	1	0	0	3060
Drilnoth	2256	10	20	2	8	0	0	0	0	1	2297
Drini	9597	93	178	38	1	4446	232	1	0	8	14594
DropDeadGorgias	340	3	24	1	0	90	5	0	0	0	463
Dsmdgold	795	11	2	0	0	3	0	0	0	0	811
Duja	875	136	20	9	2	72	9	0	0	0	1123
Duk	3834	30	61	15	2	129	25	0	0	1	4097
