User	DL	UD	RD	PT	UP	PM	BL	UB	BM	UR	RM	Total
Burgundavia	1105	0	0	4	0	0	1	0	0	0	0	1110
Burstorder	0	0	0	2	0	0	0	0	0	0	0	2
Butseriouslyfolks	5143	83	0	36	3	1	137	15	0	0	0	5418
C-3PO	0	0	0	3	0	0	0	0	0	0	0	3
C.Fred	7009	55	0	204	5	5	1502	31	9	0	0	8820
C12H22O11	1351	5	0	49	8	0	47	7	0	0	0	1467
CALR	29	0	0	0	0	0	1	0	0	0	0	30
CAT:TEMP deletion bot	2120	0	0	0	0	0	0	0	0	0	0	2120
CBDunkerson	3497	64	0	683	49	0	30	22	0	0	1	4346
CBM	4313	112	0	236	96	22	56	18	1	0	3	4857
CIreland	982	31	0	168	12	23	347	18	8	0	1	1590
CJ	1927	79	0	112	22	3	277	18	0	0	1	2439
CJCurrie	389	19	0	126	8	2	117	13	0	0	0	674
CJLL Wright	1805	29	0	58	3	6	233	3	0	0	0	2137
CLW	13900	54	0	3	0	0	26	0	0	0	0	13983
CMBJ	0	0	0	1	0	0	0	0	0	0	0	1
COGDEN	53	14	0	2	0	0	4	0	1	0	0	74
CRGreathouse	5	0	0	0	0	0	1	1	1	0	0	8
CSTAR	58	4	0	6	3	0	93	3	0	0	0	167
CYD	1	0	0	1	0	0	0	0	0	0	0	2
Cactus.man	592	16	0	61	34	0	178	10	0	0	0	891
CactusWriter	221	28	0	5	2	0	10	3	1	0	2	272
Cacycle	173	11	0	24	2	1	11	0	0	0	1	223
Cailil	116	3	0	33	0	2	50	12	0	0	0	216
Caknuck	1943	8	0	185	30	32	706	11	6	0	0	2921
Calliopejen1	2729	80	0	11	2	0	5	0	0	0	0	2827
Caltrop	57	22	0	0	0	0	6	3	0	0	0	88
Camaron	713	244	0	273	44	71	272	27	18	0	13	1675
CambridgeBayWeather	13900	237	0	203	18	133	960	22	0	0	0	15473
Camembert	11	2	0	0	1	0	0	0	0	0	0	14
Camw	273	5	0	2	0	0	163	0	7	0	0	450
Can't sleep, clown will eat me	9514	230	0	3000	125	133	32088	586	0	0	0	45676
Canadian Paul	892	27	0	13	5	0	21	2	0	0	0	960
Canadian-Bacon	426	2	0	16	3	0	232	5	0	0	0	684
CanadianCaesar	3505	62	0	53	14	0	1084	85	0	0	0	4803
Canderson7	1183	11	0	18	13	1	220	2	0	0	0	1448
Canley	732	6	0	0	1	0	3	0	0	0	0	742
Canterbury Tail	1191	7	0	57	7	8	364	13	8	0	0	1655
Cantthinkofagoodname	2	0	0	0	0	0	2	0	0	0	0	4
CapitalR	356	2	0	3	5	0	49	1	1	0	1	418
Capitalistroadster	620	1	0	3	0	0	23	3	0	0	0	650
Carabinieri	413	7	0	4	3	0	3	2	0	0	0	432
Carbonite	188	3	0	28	10	0	226	22	0	0	0	477
Carcharoth	30	75	0	2	1	0	1	2	0	0	0	111
Caribbean H.Q.	327	11	0	53	10	6	222	18	0	0	0	647
Carioca	2301	8	0	5	1	0	9	0	0	0	0	2324
Carlosguitar	2924	20	0	30	1	3	166	11	0	0	0	3155
Carlossuarez46	10520	128	0	27	2	0	66	6	1	0	0	10750
Carnildo	2373	95	0	88	17	1	58	21	0	0	3	2656
Cary Bass	1	2	14	5	1	1	1	2	0	2	0	29
Casliber	91	45	7	121	4	18	110	4	0	0	2	402
Catbar	28	0	0	2	1	0	11	0	0	0	0	42
CatherineMunro	69	13	0	0	0	0	3	3	0	0	0	88
CattleGirl	908	12	0	19	3	1	42	7	0	0	0	992
Caulde	2522	84	0	423	28	54	892	36	0	0	78	4117
Causa sui	1688	40	0	85	53	18	254	17	2	0	1	2158
Cbl62	9	0	0	2	0	0	0	0	0	0	0	11
Cbrown1023	3423	75	0	399	72	7	205	32	0	0	8	4221
Cburnett	48	18	0	6	2	0	14	5	0	0	0	93
Cdc	2188	10	0	10	9	0	21	2	0	0	0	2240
Cecropia	39	3	0	36	5	0	6	6	0	215	328	638
Cedrus-Libani	101	4	0	1	0	0	0	0	0	0	0	106
Celestianpower	734	9	0	19	3	0	170	70	0	0	0	1005
Cenarium	1405	60	0	343	134	144	124	4	6	0	17	2237
Centrx	17202	402	0	1002	947	13	1333	212	0	0	0	21111
CesarB	3606	141	0	123	49	0	942	212	0	0	0	5073
Ceyockey	1778	47	0	4	0	0	15	2	0	0	0	1846
Chadloder	0	0	0	0	0	0	6	0	0	0	0	6
Chairboy	5156	13	0	69	8	0	187	14	0	0	0	5447
Chancemill	0	0	0	1	1	0	2	0	0	0	0	4
Charles Matthews	1188	30	0	3	1	0	125	20	0	0	0	1367
Chase me ladies, I'm the Cavalry	2150	35	0	421	25	48	807	31	12	0	1	3530
Chaser	1986	86	0	279	41	34	839	111	5	0	8	3389
Ched Davis	108	2	0	2	0	0	4	1	0	0	4	121
Chell and the cake	0	0	0	2	0	0	0	0	0	0	0	2
Chessnotator1967	0	0	0	1	0	0	0	0	0	0	0	1
Chick Bowen	4637	194	0	69	14	1	135	30	0	0	1	5081
Chillum	1440	25	0	42	11	7	581	39	40	0	7	2192
Chmod007	13	2	0	2	0	0	1	1	0	0	0	19
