User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
C.Fred	13433	118	109	0	310	8	9	2237	45	57	0	1	16327
C12H22O11	1357	5	0	0	49	8	0	47	7	0	0	0	1473
CALR	29	0	0	0	0	0	0	1	0	0	0	0	30
CAT:TEMP deletion bot	2120	0	0	0	0	0	0	0	0	0	0	0	2120
CBDunkerson	3506	64	0	0	683	49	0	32	22	0	0	1	4357
CBM	4396	153	0	0	253	100	24	84	31	4	0	59	5104
CIreland	1704	43	21	0	225	15	31	507	18	24	0	1	2589
CJ	1932	79	0	0	112	22	3	277	18	0	0	3	2446
CJCurrie	435	23	1	0	130	9	2	129	13	0	0	0	742
CJLL Wright	1872	30	0	0	61	3	7	256	4	0	0	0	2233
CLW	13929	54	0	0	3	0	0	26	0	0	0	0	14012
CMBJ	0	0	0	0	1	0	0	0	0	0	0	0	1
COGDEN	65	18	19	0	3	1	0	4	0	1	0	0	111
CRGreathouse	19	0	0	0	3	0	3	1	1	1	0	0	28
CSTAR	58	5	0	0	6	3	0	93	3	0	0	0	168
CT Cooper	1167	413	101	0	388	85	108	432	37	49	0	25	2805
CYD	1	0	0	0	1	0	0	0	0	0	0	0	2
Cactus.man	594	18	0	0	61	34	0	178	10	0	0	0	895
CactusWriter	4406	152	23	0	57	2	0	112	6	7	0	4	4769
Cacycle	187	11	0	0	26	2	1	13	1	0	0	1	242
Cailil	129	3	10	0	34	0	2	94	14	10	0	0	296
Caknuck	2127	9	0	0	287	40	53	802	12	9	0	0	3339
Calliopejen1	4469	129	19	0	12	3	0	13	0	0	0	0	4645
Calmer Waters	14157	11	5	0	72	0	3	359	5	11	0	85	14708
Caltrop	58	22	0	0	0	0	0	8	3	0	0	0	91
CambridgeBayWeather	16757	329	5	0	277	51	144	1120	24	8	0	0	18715
Camembert	12	2	0	0	0	1	0	0	0	0	0	0	15
Camw	571	22	15	0	19	0	3	203	0	9	0	0	842
Can't sleep, clown will eat me	9514	230	0	0	3000	125	133	32088	586	0	0	0	45676
Canadian Paul	1085	37	0	0	20	6	1	26	3	0	0	0	1178
Canadian-Bacon	426	2	0	0	16	3	0	232	5	0	0	0	684
