User	DL	UD	PT	UP	PM	BL	UB	BM	UR	RM	Total
BorgHunter	579	25	54	19	1	115	28	0	0	0	821
BorgQueen	3756	25	853	105	25	3250	165	13	0	0	8192
Borisblue	248	1	14	39	0	92	8	0	0	0	402
Bovlb	23	2	14	1	0	28	2	0	0	0	70
BozMo	283	5	12	3	0	111	11	0	0	0	425
BradBeattie	294	0	6	0	0	118	3	0	0	0	421
BradPatrick	17	0	4	0	0	5	0	0	0	0	26
Bradeos Graphon	4877	19	65	19	3	1211	79	0	0	0	6273
Bratsche	568	16	18	46	0	145	19	0	0	0	812
Brendanconway	955	23	26	8	0	87	14	0	0	0	1113
BrendelSignature	3	0	74	5	4	105	8	0	0	0	199
Brian	6	2	3	0	1	2	1	0	0	0	15
Brian Kendig	26	1	5	6	0	2	0	0	0	0	40
Brian0918	931	79	258	47	4	2140	109	0	0	0	3568
Brianga	1952	9	1	1	1	352	7	5	0	0	2328
Briangotts	137	7	1	0	0	7	0	0	0	0	152
Brighterorange	180	11	1	0	0	21	1	0	0	0	214
Brion VIBBER	190	9	12	0	1	27	11	0	0	4	254
Brockert	189	51	3	3	0	31	30	0	0	0	307
BrokenSegue	1363	11	62	67	0	153	40	0	0	0	1696
Brookie	3977	53	212	3	0	229	4	0	0	0	4478
BrownHairedGirl	760	111	138	5	9	124	14	0	0	0	1161
Bryan Derksen	828	323	5	7	0	10	0	0	0	2	1175
Bubba hotep	1050	47	24	0	0	328	10	2	0	0	1461
Buchanan-Hermit	514	18	28	6	0	452	20	0	0	0	1038
Bucketsofg	642	22	66	6	0	224	8	0	0	0	968
Buckshot06	139	2	1	0	0	2	0	1	0	0	145
Bumm13	838	37	6	1	0	31	4	0	0	5	922
Bunchofgrapes	738	10	62	44	0	203	37	0	0	0	1094
Burgundavia	1105	0	4	0	0	1	0	0	0	0	1110
Burstorder	0	0	2	0	0	0	0	0	0	0	2
Butseriouslyfolks	5143	83	36	3	1	137	15	0	0	0	5418
C-3PO	0	0	3	0	0	0	0	0	0	0	3
C.Fred	6006	43	179	5	4	1424	27	1	0	0	7689
C12H22O11	1351	5	49	8	0	47	7	0	0	0	1467
CALR	29	0	0	0	0	1	0	0	0	0	30
CAT:TEMP deletion bot	2120	0	0	0	0	0	0	0	0	0	2120
CBDunkerson	3497	63	683	49	0	30	22	0	0	1	4345
CBM	4271	111	233	96	22	56	17	0	0	3	4809
CIreland	916	30	162	12	23	325	16	2	0	0	1486
CJ	1927	79	112	22	3	277	18	0	0	1	2439
CJCurrie	388	19	124	8	1	117	13	0	0	0	670
CJLL Wright	1763	29	57	3	6	215	3	0	0	0	2076
CLW	13900	54	3	0	0	26	0	0	0	0	13983
CMBJ	0	0	1	0	0	0	0	0	0	0	1
COGDEN	53	14	2	0	0	3	0	0	0	0	72
CRGreathouse	1	0	0	0	0	1	1	1	0	0	4
CSTAR	58	4	6	3	0	93	3	0	0	0	167
CYD	1	0	1	0	0	0	0	0	0	0	2
Cactus.man	592	16	61	34	0	178	10	0	0	0	891
Cacycle	167	11	24	2	1	11	0	0	0	1	217
Cailil	116	3	33	0	2	48	12	0	0	0	214
Caknuck	1943	8	184	30	32	706	11	6	0	0	2920
Calliopejen1	2314	77	11	2	0	4	0	0	0	0	2408
Caltrop	57	22	0	0	0	6	3	0	0	0	88
Camaron	548	181	206	33	63	246	26	8	0	13	1324
CambridgeBayWeather	13537	220	186	18	6	934	21	0	0	0	14922
Camembert	11	2	0	1	0	0	0	0	0	0	14
Camw	53	1	0	0	0	114	0	6	0	0	174
Can't sleep, clown will eat me	9514	230	3000	125	133	32088	586	0	0	0	45676
Canadian Paul	891	26	11	5	0	20	2	0	0	0	955
Canadian-Bacon	426	2	16	3	0	232	5	0	0	0	684
CanadianCaesar	3505	62	53	14	0	1084	85	0	0	0	4803
Canderson7	1183	11	18	13	1	220	2	0	0	0	1448
Canley	637	6	0	1	0	3	0	0	0	0	647
Cantthinkofagoodname	2	0	0	0	0	2	0	0	0	0	4
