User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
C.Fred	13984	122	120	0	315	8	10	2284	45	59	0	1	16948
C12H22O11	1357	5	0	0	49	8	0	47	7	0	0	0	1473
CALR	29	0	0	0	0	0	0	1	0	0	0	0	30
CAT:TEMP deletion bot	2120	0	0	0	0	0	0	0	0	0	0	0	2120
CBDunkerson	3506	64	0	0	683	49	0	32	22	0	0	1	4357
CBM	4499	153	1	0	253	100	24	84	31	4	0	59	5208
CIreland	1716	43	22	0	229	16	33	517	18	24	0	1	2619
CJ	1932	79	0	0	112	22	3	277	18	0	0	3	2446
CJCurrie	436	23	1	0	130	9	2	129	13	0	0	0	743
CJLL Wright	1872	30	0	0	61	3	7	256	4	0	0	0	2233
CLW	13929	54	0	0	3	0	0	26	0	0	0	0	14012
CMBJ	0	0	0	0	1	0	0	0	0	0	0	0	1
COGDEN	65	18	19	0	3	1	0	4	0	1	0	0	111
CRGreathouse	19	0	0	0	3	0	3	1	1	1	0	0	28
CSTAR	58	5	0	0	6	3	0	93	3	0	0	0	168
CT Cooper	1262	434	111	0	394	87	110	459	37	51	0	25	2970
CYD	1	0	0	0	1	0	0	0	0	0	0	0	2
Cactus.man	594	18	0	0	61	34	0	178	10	0	0	0	895
CactusWriter	4744	156	33	0	57	2	0	118	6	7	0	4	5127
Cacycle	188	11	0	0	26	2	1	13	1	0	0	1	243
Cailil	188	4	10	0	34	0	2	107	14	12	0	0	371
Caknuck	2127	9	0	0	287	40	53	802	12	9	0	0	3339
Calliopejen1	5057	143	21	0	12	3	0	15	0	0	0	0	5251
Calmer Waters	14158	11	5	0	72	0	3	359	5	11	0	85	14709
Caltrop	58	22	0	0	0	0	0	8	3	0	0	0	91
CambridgeBayWeather	16991	332	5	0	278	51	144	1132	24	8	0	0	18965
Camembert	12	2	0	0	0	1	0	0	0	0	0	0	15
Camw	590	23	17	0	20	0	3	205	0	10	0	0	868
Can't sleep, clown will eat me	9514	230	0	0	3000	125	133	32088	586	0	0	0	45676
Canadian Paul	1085	39	0	0	20	6	1	26	3	0	0	0	1180
Canadian-Bacon	426	2	0	0	16	3	0	232	5	0	0	0	684
CanadianCaesar	3505	62	0	0	53	14	0	1084	85	0	0	0	4803
Canderson7	1183	11	0	0	18	13	1	220	2	0	0	0	1448
Canley	988	11	0	0	2	1	0	5	0	0	0	0	1007
Canterbury Tail	2384	8	0	0	98	8	11	481	23	18	0	0	3031
Cantthinkofagoodname	2	0	0	0	0	0	0	2	0	0	0	0	4
CapitalR	9226	11481	0	0	19	7	0	49	1	1	0	1	20785
Capitalistroadster	621	1	0	0	3	0	0	25	3	0	0	0	653
Carabinieri	448	7	0	0	4	3	0	3	2	0	0	0	467
Carbonite	188	3	0	0	28	10	0	226	22	0	0	0	477
Carcharoth	45	78	1	0	4	3	1	1	2	0	0	0	135
Caribbean H.Q.	377	16	0	0	75	10	9	259	20	0	0	1	767
Carioca	2988	14	0	0	7	1	1	10	0	0	0	0	3021
Carlosguitar	2924	20	0	0	30	1	3	167	11	0	0	0	3156
Carlossuarez46	10712	138	0	0	30	2	0	69	6	1	0	0	10958
Carnildo	2420	100	0	0	103	21	3	66	23	0	0	3	2739
Cary Bass	4	3	14	17	5	1	1	1	2	0	2	0	50
Casliber	168	108	32	1	285	32	62	126	6	1	0	15	836
Catbar	28	0	0	0	2	1	0	11	0	0	0	0	42
Catfish Jim and the soapdish	728	23	0	0	18	1	0	51	0	3	0	1	825
CatherineMunro	69	13	0	0	0	0	0	3	3	0	0	0	88
Catrope	2	0	0	0	0	0	0	0	0	0	0	6	8
CattleGirl	908	12	0	0	19	3	1	42	7	0	0	0	992
Caulde	2522	84	0	0	423	28	54	892	36	0	0	78	4117
Causa sui	2757	56	33	0	222	61	34	340	25	15	0	2	3545
Cbl62	146	3	0	0	9	0	0	0	0	0	0	0	158
Cbrown1023	3426	80	1	0	404	74	8	206	32	0	0	9	4240
Cburnett	52	18	0	0	6	2	0	14	5	0	0	0	97
Cdc	2188	10	0	0	10	9	0	21	2	0	0	0	2240
Cecropia	39	3	0	0	36	5	0	6	6	0	215	334	644
Cedrus-Libani	101	4	0	0	1	0	0	0	0	0	0	0	106
Celestianpower	745	9	0	0	19	3	0	170	70	0	0	0	1016
Cenarium	1811	81	2	0	398	147	221	140	4	9	0	34	2847
Centrx	17227	406	0	0	1007	947	13	1334	212	0	0	1	21147
Ceranthor	286	2	0	0	0	0	0	114	0	2	0	0	404
CesarB	3606	142	0	0	123	49	0	942	212	0	0	0	5074
Ceyockey	1788	50	0	0	4	0	0	16	2	0	0	0	1860
Chadloder	0	0	0	0	0	0	0	6	0	0	0	0	6
Chairboy	5162	13	0	0	69	8	0	189	14	0	0	0	5455
Chamal N	151	4	0	0	81	5	23	83	2	2	0	5	356
Chancemill	0	0	0	0	1	1	0	2	0	0	0	0	4
Charles Matthews	1997	50	0	0	5	1	0	141	20	0	0	0	2214
CharlieEchoTango	1255	15	30	0	23	2	4	158	1	12	0	4	1504
Chase me ladies, I'm the Cavalry	4319	121	143	34	534	32	60	1396	47	31	0	10	6727
Chaser	2362	133	6	0	341	45	42	895	146	30	0	15	4015
Ched Davis	132	12	5	0	4	1	0	15	4	1	0	6	180
Chell and the cake	0	0	0	0	2	0	0	0	0	0	0	0	2
Chessnotator1967	0	0	0	0	1	0	0	0	0	0	0	0	1
Chick Bowen	4746	224	1	0	87	15	7	142	30	0	0	1	5253
Chillum	1495	27	0	0	61	12	7	742	52	76	0	10	2482
Chmod007	13	2	0	0	2	0	0	1	1	0	0	0	19
Chochopk	27	37	0	0	1	0	0	2	1	0	0	0	68
Choess	27	13	0	0	0	0	0	0	0	0	0	0	40
Cholmes75	4637	10	0	0	26	0	0	112	3	0	0	0	4788
Chris 73	1935	15	0	0	63	8	1	721	30	3	0	0	2776
Chris G	6926	186	2	0	258	16	39	2962	72	232	0	11	10704
Chris Roy	3	0	0	0	0	0	0	1	0	0	0	0	4
ChrisGriswold	1126	16	0	0	51	8	0	210	21	0	0	0	1432
ChrisTheDude	839	20	0	0	8	3	0	24	2	0	0	0	896
Chrislk02	4297	61	0	0	136	21	8	1632	91	12	0	6	6264
Christine (WMF)	1	0	1	0	0	0	0	0	0	0	0	0	2
Christopher Mahan	38	5	0	0	0	0	0	0	0	0	0	0	43
Christopher Parham	747	10	0	0	4	2	0	24	1	0	0	0	788
Christopher Sundita	66	39	0	0	10	4	0	17	2	0	0	0	138
Chuck SMITH	0	1	0	0	0	0	0	0	0	0	0	0	1
Chunky Rice	347	1	0	0	4	3	0	31	2	0	0	0	388
Chuq	218	19	0	0	13	2	1	93	6	0	0	0	352
CieloEstrellado	0	0	0	0	1	0	0	0	0	0	0	0	1
Cimon Avaro	238	10	0	0	2	5	1	4	0	0	6	5	271
Circeus	1755	8	0	0	50	27	0	156	13	0	0	0	2009
Cirt	28893	334	23	0	1236	22	202	9722	70	52	0	24	40578
Citicat	734	19	0	0	24	1	0	36	4	0	0	0	818
Ck lostsword	310	4	0	0	13	1	5	308	16	0	0	0	657
Ckatz	1586	77	133	0	248	7	62	1305	18	43	0	5	3484
Clarkk	23	0	0	0	0	1	0	0	0	0	0	0	24
Cleared as filed	1346	19	0	0	0	0	0	53	2	0	0	0	1420
Climie.ca	0	0	0	0	2	1	0	13	1	1	0	1	19
ClockworkLunch	75	4	0	0	11	1	0	4	0	0	0	0	95
ClockworkSoul	759	46	1	0	39	7	4	223	19	4	0	0	1102
Closedmouth	27108	200	168	0	485	9	110	3063	63	136	0	53	31395
CloudNine	424	15	0	0	24	1	2	32	2	0	0	0	500
ClueBot	0	0	0	0	1	0	0	0	0	0	0	0	1
Cnwb	661	11	0	0	0	0	0	23	2	0	0	0	697
Cobaltbluetony	7311	93	5	0	452	24	9	471	22	5	0	0	8392
Cobi	53	1	0	0	21	0	2	8	4	0	0	4	93
Coelacan	1194	30	0	0	85	10	1	845	53	0	0	0	2218
Coffee	1542	182	4	0	190	10	172	465	18	95	0	14	2692
Coffeedrinker87	0	0	0	0	1	0	0	0	0	0	0	0	1
Cohesion	6799	48	0	0	2	18	1	3	0	0	0	0	6871
Commander Keane	4881	232	1	0	44	22	2	157	29	1	0	13	5382
Connormah	58	16	106	0	96	4	69	642	6	38	0	1	1036
Conscious	13449	65	0	0	2	2	0	56	0	0	0	0	13574
Consumed Crustacean	741	25	0	0	46	3	1	359	36	1	0	0	1212
Conti	466	45	0	0	13	38	3	74	3	0	0	1	643
Cool Hand Luke	959	582	1	0	65	12	21	96	18	0	0	0	1754
Cool3	35	0	0	0	3	2	0	22	1	2	0	3	68
Coralmizu	168	2	0	0	23	1	2	47	2	1	0	0	246
Coredesat	11148	136	0	0	235	25	11	494	60	0	0	0	12109
Coren	917	26	55	1	63	7	8	290	49	10	0	2	1428
Courcelles	73564	1000	2341	28	5580	748	937	3148	63	246	0	3567	91222
Cowman109	433	36	0	0	101	43	4	360	44	0	0	0	1021
Craigy144	3099	11	0	0	8	3	1	38	0	0	0	1	3161
Crazycomputers	648	10	22	0	70	15	8	851	57	12	0	4	1697
Crazytales	261	20	5	0	20	2	2	121	30	4	0	0	465
Cremepuff222	176	6	0	0	3	2	1	98	5	0	0	0	291
Croat Canuck	83	3	0	0	1	1	0	5	1	0	0	0	94
Crum375	187	18	1	0	98	7	24	291	13	2	0	0	641
Cryptic	9383	238	0	0	136	15	1	322	21	0	0	0	10116
CryptoDerk	1091	1	0	0	67	9	0	1014	45	0	0	0	2227
Crzrussian	5139	133	0	0	156	28	0	150	13	0	0	0	5619
Cuchullain	464	93	0	0	18	1	4	52	0	0	0	0	632
Curps	5148	166	0	0	461	101	0	26558	1065	0	0	0	33499
Cutler	69	0	0	0	0	0	0	7	0	0	0	0	76
CyborgTosser	2	0	0	0	0	0	0	0	0	0	0	0	2
Cyde	19110	111	0	0	258	32	2	830	168	0	0	0	20511
Cydebot	78381	0	0	0	0	0	0	0	0	0	0	0	78381
Cyp	3	0	0	0	0	0	0	0	0	0	0	0	3
