User	DL	UD	RD	PT	UP	PM	BL	UB	BM	UR	RM	Total
Blood Red Sandman	664	5	0	5	0	0	243	11	2	0	1	931
Blubberboy92	0	0	0	1	0	0	0	0	0	0	0	1
Blueboy96	1331	23	0	220	5	31	2610	126	106	0	0	4452
Bluemoose	10610	47	0	27	10	0	93	18	0	0	0	10805
Bmicomp	404	2	0	6	4	0	38	11	0	0	0	465
Bobak	230	12	0	160	6	9	751	11	11	0	0	1190
Bobet	4965	181	0	56	18	1	224	10	0	0	0	5455
Bobo192	4957	3	0	2	3	0	2	0	0	0	0	4967
Bogdangiusca	3140	66	0	28	10	1	107	13	0	0	0	3365
Bongwarrior	8779	59	0	440	8	108	3691	34	111	0	2	13232
Bonkers Bobcat	0	0	0	1	0	0	0	0	0	0	0	1
Bookofjude	650	27	0	29	5	0	85	9	0	0	0	805
Bopped Kia	0	0	0	1	0	0	0	0	0	0	0	1
BorgHunter	598	25	0	54	19	1	117	28	0	0	0	842
BorgQueen	4018	40	0	1177	123	44	3468	168	19	0	0	9057
Borisblue	248	1	0	14	39	0	92	8	0	0	0	402
Bovlb	23	2	0	14	1	0	28	2	0	0	0	70
BozMo	287	6	0	15	3	0	131	14	0	0	0	456
BradBeattie	294	0	0	6	0	0	118	3	0	0	0	421
BradPatrick	17	0	0	4	0	0	5	0	0	0	0	26
Bradeos Graphon	4877	19	0	65	19	3	1211	79	0	0	0	6273
Brandon	3789	76	0	107	39	26	691	32	35	0	16	4811
Bratsche	568	16	0	18	46	0	145	19	0	0	0	812
Brendanconway	955	23	0	26	8	0	87	14	0	0	0	1113
BrendelSignature	3	0	0	74	5	4	105	8	0	0	0	199
Brian	6	2	0	3	0	1	2	1	0	0	0	15
Brian Kendig	28	3	0	5	6	0	2	0	0	0	0	44
Brian0918	931	79	0	258	47	4	2143	109	0	0	0	3571
Brianga	2285	9	0	1	1	1	450	7	5	0	0	2759
Briangotts	138	7	0	1	0	0	7	0	0	0	0	153
Brighterorange	181	12	0	1	0	0	21	1	0	0	0	216
Brion VIBBER	192	9	0	12	0	1	27	11	0	0	4	256
Brockert	189	51	0	3	3	0	31	30	0	0	0	307
BrokenSegue	1363	11	0	62	67	0	153	40	0	0	0	1696
Brookie	3998	53	0	212	3	0	229	4	0	0	0	4499
BrownHairedGirl	803	117	0	139	6	9	126	16	1	0	0	1217
Bryan Derksen	828	324	0	5	7	0	10	0	0	0	2	1176
Bubba hotep	2638	69	0	38	3	2	779	12	18	0	4	3563
Buchanan-Hermit	514	18	0	28	6	0	452	20	0	0	0	1038
Bucketsofg	645	22	0	66	6	0	224	8	0	0	0	971
Buckshot06	307	4	0	2	0	0	7	0	1	0	0	321
Bumm13	842	39	0	6	1	0	31	4	0	0	5	928
Bunchofgrapes	738	10	0	62	44	0	203	37	0	0	0	1094
Burgundavia	1105	0	0	4	0	0	1	0	0	0	0	1110
Burstorder	0	0	0	2	0	0	0	0	0	0	0	2
Butseriouslyfolks	5143	83	0	36	3	1	137	15	0	0	0	5418
C-3PO	0	0	0	3	0	0	0	0	0	0	0	3
C.Fred	8019	64	0	216	5	6	1577	33	20	0	0	9940
C12H22O11	1351	5	0	49	8	0	47	7	0	0	0	1467
CALR	29	0	0	0	0	0	1	0	0	0	0	30
CAT:TEMP deletion bot	2120	0	0	0	0	0	0	0	0	0	0	2120
CBDunkerson	3497	64	0	683	49	0	30	22	0	0	1	4346
CBM	4348	142	0	236	96	22	58	20	2	0	3	4927
CIreland	1103	32	0	172	12	24	369	18	9	0	1	1740
CJ	1927	79	0	112	22	3	277	18	0	0	1	2439
CJCurrie	398	19	0	126	8	2	127	13	0	0	0	693
CJLL Wright	1850	30	0	58	3	7	243	4	0	0	0	2195
CLW	13900	54	0	3	0	0	26	0	0	0	0	13983
CMBJ	0	0	0	1	0	0	0	0	0	0	0	1
COGDEN	57	14	0	2	0	0	4	0	1	0	0	78
CRGreathouse	7	0	0	0	0	0	1	1	1	0	0	10
CSTAR	58	5	0	6	3	0	93	3	0	0	0	168
CYD	1	0	0	1	0	0	0	0	0	0	0	2
Cactus.man	592	16	0	61	34	0	178	10	0	0	0	891
CactusWriter	790	104	0	13	2	0	34	3	5	0	3	954
Cacycle	180	11	0	26	2	1	12	1	0	0	1	234
Cailil	116	3	0	33	0	2	50	12	0	0	0	216
Caknuck	1943	8	0	185	30	32	706	11	6	0	0	2921
Calliopejen1	2730	80	0	11	2	0	5	0	0	0	0	2828
Caltrop	58	22	0	0	0	0	6	3	0	0	0	89
Camaron	756	291	0	312	51	76	285	27	22	0	20	1840
CambridgeBayWeather	14665	260	0	213	18	136	987	23	5	0	0	16307
Camembert	11	2	0	0	1	0	0	0	0	0	0	14
Camw	314	7	0	5	0	0	171	0	7	0	0	504
Can't sleep, clown will eat me	9514	230	0	3000	125	133	32088	586	0	0	0	45676
Canadian Paul	1001	31	0	14	5	0	21	2	0	0	0	1074
Canadian-Bacon	426	2	0	16	3	0	232	5	0	0	0	684
CanadianCaesar	3505	62	0	53	14	0	1084	85	0	0	0	4803
Canderson7	1183	11	0	18	13	1	220	2	0	0	0	1448
Canley	877	8	0	0	1	0	4	0	0	0	0	890
Canterbury Tail	1363	7	0	73	8	8	392	20	11	0	0	1882
Cantthinkofagoodname	2	0	0	0	0	0	2	0	0	0	0	4
CapitalR	356	2	0	3	5	0	49	1	1	0	1	418
Capitalistroadster	620	1	0	3	0	0	23	3	0	0	0	650
Carabinieri	415	7	0	4	3	0	3	2	0	0	0	434
Carbonite	188	3	0	28	10	0	226	22	0	0	0	477
Carcharoth	33	75	0	2	1	0	1	2	0	0	0	114
Caribbean H.Q.	361	14	0	68	10	8	246	19	0	0	0	726
Carioca	2481	10	0	6	1	1	9	0	0	0	0	2508
Carlosguitar	2924	20	0	30	1	3	166	11	0	0	0	3155
Carlossuarez46	10571	129	0	27	2	0	66	6	1	0	0	10802
Carnildo	2388	98	0	90	17	2	60	21	0	0	3	2679
Cary Bass	2	2	14	5	1	1	1	2	0	2	0	30
Casliber	102	54	7	139	7	26	110	6	0	0	2	453
Catbar	28	0	0	2	1	0	11	0	0	0	0	42
CatherineMunro	69	13	0	0	0	0	3	3	0	0	0	88
CattleGirl	908	12	0	19	3	1	42	7	0	0	0	992
Caulde	2522	84	0	423	28	54	892	36	0	0	78	4117
Causa sui	1691	40	0	88	53	19	255	17	3	0	1	2167
Cbl62	12	0	0	6	0	0	0	0	0	0	0	18
Cbrown1023	3423	75	0	401	72	7	205	32	0	0	8	4223
Cburnett	48	18	0	6	2	0	14	5	0	0	0	93
Cdc	2188	10	0	10	9	0	21	2	0	0	0	2240
Cecropia	39	3	0	36	5	0	6	6	0	215	334	644
Cedrus-Libani	101	4	0	1	0	0	0	0	0	0	0	106
