User	DL	UD	PT	UP	PM	BL	UB	BM	UR	RM	Total
Bastique	353	92	47	8	4	121	51	0	3	1	680
Bazonka	0	0	1	0	0	0	0	0	0	0	1
Bbatsell	391	9	18	2	0	350	18	0	0	0	788
Bcorr	129	6	8	1	0	67	10	0	2	1	224
Bdesham	25	0	3	0	0	0	0	0	0	0	28
Bduke	250	18	20	7	2	23	0	0	0	0	320
Bearcat	3232	184	71	6	3	74	8	2	0	0	3580
Bearian	608	15	138	4	1	630	31	2	0	1	1430
Bedford	9	3	50	0	4	5	2	0	0	0	73
Beetstra	508	20	89	18	6	359	27	3	0	1	1031
Bel123456	0	0	1	0	0	0	0	0	0	0	1
Beland	191	1	13	12	1	10	0	0	0	0	228
Ben MacDui	206	1	1	0	0	7	0	0	0	0	215
Bencherlite	3401	55	158	4	12	493	7	6	0	7	4143
Berig	26	0	2	0	2	10	0	0	0	1	41
Betacommand	7463	46	76	379	0	3297	120	0	0	0	11381
Bettia	102	1	0	0	0	2	1	1	0	0	107
Bhadani	1297	7	94	19	1	478	10	0	0	0	1906
Bibliomaniac15	3885	25	216	31	17	1325	23	4	687	42	6255
BigHaz	3152	2	8	6	0	33	2	0	0	0	3203
BigrTex	960	10	2	0	0	1	0	0	0	0	973
Bigtimepeace	255	3	2	1	0	46	3	0	0	0	310
Bill	0	0	1	0	0	0	0	0	0	0	1
BillyH	47	2	0	1	0	1	0	0	0	0	51
BirgitteSB	125	7	0	0	0	1	1	0	0	1	135
Bishonen	573	74	196	46	7	569	209	1	0	0	1675
Bishzilla	53	11	16	2	2	24	6	0	0	5	119
Bjarki S	91	0	2	1	0	41	4	0	0	0	139
Bjelleklang	640	7	4	0	3	8	2	0	0	0	664
Bjweeks	3313	52	84	35	23	410	21	14	0	7	3959
Bkell	1140	13	0	0	0	1	0	0	0	0	1154
Bkonrad	612	85	2	0	0	138	2	0	0	0	839
Black Falcon	3996	59	3	1	0	26	1	0	0	0	4086
Black Kite	4141	125	321	40	42	1132	88	23	0	13	5925
Blankfaze	386	1	3	2	0	7	1	0	0	0	400
Blood Red Sandman	608	4	5	0	0	232	9	0	0	1	859
Blubberboy92	0	0	1	0	0	0	0	0	0	0	1
Blueboy96	1080	17	180	5	29	2053	120	26	0	0	3510
Bluemoose	10610	47	27	10	0	93	18	0	0	0	10805
Bmicomp	404	2	6	4	0	38	11	0	0	0	465
Bobak	219	11	127	6	7	686	10	5	0	0	1071
Bobet	4956	181	55	18	1	223	10	0	0	0	5444
Bobo192	4940	3	2	3	0	2	0	0	0	0	4950
Bogdangiusca	3132	64	28	10	1	107	13	0	0	0	3355
Bongwarrior	7970	56	416	7	89	3189	32	55	0	2	11816
Bonkers Bobcat	0	0	1	0	0	0	0	0	0	0	1
Bookofjude	650	27	29	5	0	85	9	0	0	0	805
Bopped Kia	0	0	1	0	0	0	0	0	0	0	1
BorgHunter	579	25	54	19	1	116	28	0	0	0	822
BorgQueen	3821	25	933	112	31	3321	166	13	0	0	8422
Borisblue	248	1	14	39	0	92	8	0	0	0	402
Bovlb	23	2	14	1	0	28	2	0	0	0	70
BozMo	285	6	12	3	0	113	13	0	0	0	432
BradBeattie	294	0	6	0	0	118	3	0	0	0	421
BradPatrick	17	0	4	0	0	5	0	0	0	0	26
Bradeos Graphon	4877	19	65	19	3	1211	79	0	0	0	6273
Bratsche	568	16	18	46	0	145	19	0	0	0	812
Brendanconway	955	23	26	8	0	87	14	0	0	0	1113
BrendelSignature	3	0	74	5	4	105	8	0	0	0	199
Brian	6	2	3	0	1	2	1	0	0	0	15
Brian Kendig	26	3	5	6	0	2	0	0	0	0	42
Brian0918	931	79	258	47	4	2140	109	0	0	0	3568
Brianga	2221	9	1	1	1	415	7	5	0	0	2660
Briangotts	138	7	1	0	0	7	0	0	0	0	153
Brighterorange	180	11	1	0	0	21	1	0	0	0	214
Brion VIBBER	190	9	12	0	1	27	11	0	0	4	254
Brockert	189	51	3	3	0	31	30	0	0	0	307
BrokenSegue	1363	11	62	67	0	153	40	0	0	0	1696
Brookie	3977	53	212	3	0	229	4	0	0	0	4478
BrownHairedGirl	782	114	138	5	9	125	14	0	0	0	1187
Bryan Derksen	828	324	5	7	0	10	0	0	0	2	1176
Bubba hotep	1169	49	24	0	0	331	10	2	0	0	1585
Buchanan-Hermit	514	18	28	6	0	452	20	0	0	0	1038
Bucketsofg	643	22	66	6	0	224	8	0	0	0	969
Buckshot06	141	2	1	0	0	2	0	1	0	0	147
Bumm13	840	38	6	1	0	31	4	0	0	5	925
Bunchofgrapes	738	10	62	44	0	203	37	0	0	0	1094
Burgundavia	1105	0	4	0	0	1	0	0	0	0	1110
Burstorder	0	0	2	0	0	0	0	0	0	0	2
Butseriouslyfolks	5143	83	36	3	1	137	15	0	0	0	5418
C-3PO	0	0	3	0	0	0	0	0	0	0	3
C.Fred	6501	50	196	5	4	1456	27	6	0	0	8245
C12H22O11	1351	5	49	8	0	47	7	0	0	0	1467
CALR	29	0	0	0	0	1	0	0	0	0	30
CAT:TEMP deletion bot	2120	0	0	0	0	0	0	0	0	0	2120
CBDunkerson	3497	63	683	49	0	30	22	0	0	1	4345
CBM	4307	112	235	96	22	56	18	1	0	3	4850
CIreland	958	30	165	12	23	336	16	5	0	1	1546
CJ	1927	79	112	22	3	277	18	0	0	1	2439
CJCurrie	388	19	124	8	1	117	13	0	0	0	670
CJLL Wright	1779	29	57	3	6	229	3	0	0	0	2106
CLW	13900	54	3	0	0	26	0	0	0	0	13983
CMBJ	0	0	1	0	0	0	0	0	0	0	1
COGDEN	53	14	2	0	0	4	0	1	0	0	74
CRGreathouse	1	0	0	0	0	1	1	1	0	0	4
CSTAR	58	4	6	3	0	93	3	0	0	0	167
CYD	1	0	1	0	0	0	0	0	0	0	2
Cactus.man	592	16	61	34	0	178	10	0	0	0	891
CactusWriter	6	1	3	2	0	4	3	1	0	2	22
Cacycle	173	11	24	2	1	11	0	0	0	1	223
Cailil	116	3	33	0	2	48	12	0	0	0	214
Caknuck	1943	8	184	30	32	706	11	6	0	0	2920
Calliopejen1	2670	80	11	2	0	5	0	0	0	0	2768
Caltrop	57	22	0	0	0	6	3	0	0	0	88
Camaron	598	190	222	35	64	255	26	10	0	13	1413
CambridgeBayWeather	13662	225	190	18	6	948	22	0	0	0	15071
Camembert	11	2	0	1	0	0	0	0	0	0	14
Camw	205	4	1	0	0	157	0	6	0	0	373
Can't sleep, clown will eat me	9514	230	3000	125	133	32088	586	0	0	0	45676
Canadian Paul	891	26	11	5	0	21	2	0	0	0	956
Canadian-Bacon	426	2	16	3	0	232	5	0	0	0	684
CanadianCaesar	3505	62	53	14	0	1084	85	0	0	0	4803
Canderson7	1183	11	18	13	1	220	2	0	0	0	1448
Canley	704	6	0	1	0	3	0	0	0	0	714
Canterbury Tail	1078	7	53	6	7	347	13	2	0	0	1513
Cantthinkofagoodname	2	0	0	0	0	2	0	0	0	0	4
CapitalR	356	2	3	5	0	49	1	1	0	1	418
Capitalistroadster	620	1	3	0	0	23	3	0	0	0	650
Carabinieri	413	7	4	3	0	3	2	0	0	0	432
Carbonite	188	3	28	10	0	226	22	0	0	0	477
Carcharoth	30	75	2	1	0	1	2	0	0	0	111
Caribbean H.Q.	327	11	51	10	6	221	18	0	0	0	644
Carioca	1993	8	4	1	0	9	0	0	0	0	2015
Carlosguitar	2924	20	30	1	3	166	11	0	0	0	3155
Carlossuarez46	10306	124	25	2	0	63	5	1	0	0	10526
Carnildo	2367	95	88	17	1	58	20	0	0	3	2649
Cary Bass	1	2	5	1	1	1	2	0	2	0	15
Casliber	90	42	121	4	14	106	3	0	0	2	382
Catbar	28	0	2	1	0	11	0	0	0	0	42
CatherineMunro	69	13	0	0	0	3	3	0	0	0	88
CattleGirl	908	12	19	3	1	42	7	0	0	0	992
Caulde	2522	84	423	28	54	892	36	0	0	78	4117
Cbl62	8	0	2	0	0	0	0	0	0	0	10
Cbrown1023	3423	75	399	71	7	205	32	0	0	8	4220
Cburnett	48	18	6	2	0	14	5	0	0	0	93
Cdc	2188	10	10	9	0	21	2	0	0	0	2240
Cecropia	39	3	36	5	0	6	6	0	215	328	638
Cedrus-Libani	101	4	1	0	0	0	0	0	0	0	106
Celestianpower	734	9	19	3	0	170	70	0	0	0	1005
Cenarium	1351	58	326	131	137	117	4	6	0	9	2139
Centrx	17196	402	1002	947	12	1332	212	0	0	0	21103
CesarB	3606	141	123	49	0	942	212	0	0	0	5073
Ceyockey	1777	47	4	0	0	15	2	0	0	0	1845
Chadloder	0	0	0	0	0	6	0	0	0	0	6
Chairboy	5156	13	69	8	0	187	14	0	0	0	5447
Chancemill	0	0	1	1	0	2	0	0	0	0	4
Charles Matthews	1186	30	3	1	0	124	20	0	0	0	1364
