User	DL	UD	RD	PT	UP	PM	BL	UB	BM	UR	RM	Total
Beetstra	652	24	0	92	18	7	380	28	3	0	1	1205
Bel123456	0	0	0	1	0	0	0	0	0	0	0	1
Beland	192	1	0	13	12	1	10	0	0	0	0	229
Ben MacDui	285	1	0	2	0	0	8	0	0	0	0	296
Bencherlite	3787	84	0	173	4	13	511	8	8	0	8	4596
Berig	28	0	0	2	0	2	10	0	0	0	1	43
Betacommand	7463	46	0	76	379	0	3297	120	0	0	0	11381
Bettia	338	3	0	8	0	0	4	1	1	0	0	355
Bhadani	1301	7	0	95	19	1	478	10	0	0	0	1911
Bibliomaniac15	3951	26	0	217	31	17	1337	23	5	797	48	6452
BigHaz	3152	2	0	8	6	0	33	2	0	0	0	3203
BigrTex	960	10	0	2	0	0	1	0	0	0	0	973
Bigtimepeace	390	6	0	2	1	0	61	4	1	0	0	465
Bill	0	0	0	1	0	0	0	0	0	0	0	1
Billinghurst	996	2	0	2	0	0	1	0	0	0	0	1001
BillyH	47	2	0	0	1	0	1	0	0	0	0	51
BirgitteSB	167	7	0	0	0	0	1	1	0	0	1	177
Bishonen	574	75	0	196	46	7	569	209	1	0	0	1677
Bishzilla	53	11	0	16	2	2	24	6	0	0	5	119
Bjarki S	91	0	0	2	1	0	41	4	0	0	0	139
Bjelleklang	642	7	0	4	0	3	9	2	0	0	0	667
Bkell	1165	13	0	0	0	0	1	0	0	0	0	1179
Bkonrad	641	90	0	3	0	0	140	2	0	0	0	876
Black Falcon	4288	65	0	3	1	0	27	1	0	0	0	4385
Black Kite	4706	134	0	366	45	48	1214	101	28	0	15	6657
Blankfaze	386	1	0	3	2	0	7	1	0	0	0	400
Blood Red Sandman	663	5	0	5	0	0	242	10	2	0	1	928
Blubberboy92	0	0	0	1	0	0	0	0	0	0	0	1
Blueboy96	1226	20	0	203	5	30	2272	122	63	0	0	3941
Bluemoose	10610	47	0	27	10	0	93	18	0	0	0	10805
Bmicomp	404	2	0	6	4	0	38	11	0	0	0	465
Bobak	228	12	0	145	6	8	716	11	11	0	0	1137
Bobet	4957	181	0	55	18	1	224	10	0	0	0	5446
Bobo192	4944	3	0	2	3	0	2	0	0	0	0	4954
Bogdangiusca	3137	65	0	28	10	1	107	13	0	0	0	3361
Bongwarrior	8779	59	0	440	8	108	3691	34	111	0	2	13232
Bonkers Bobcat	0	0	0	1	0	0	0	0	0	0	0	1
Bookofjude	650	27	0	29	5	0	85	9	0	0	0	805
Bopped Kia	0	0	0	1	0	0	0	0	0	0	0	1
BorgHunter	597	25	0	54	19	1	117	28	0	0	0	841
BorgQueen	3952	32	0	1097	120	38	3389	168	18	0	0	8814
Borisblue	248	1	0	14	39	0	92	8	0	0	0	402
Bovlb	23	2	0	14	1	0	28	2	0	0	0	70
BozMo	285	6	0	13	3	0	114	13	0	0	0	434
BradBeattie	294	0	0	6	0	0	118	3	0	0	0	421
BradPatrick	17	0	0	4	0	0	5	0	0	0	0	26
Bradeos Graphon	4877	19	0	65	19	3	1211	79	0	0	0	6273
Brandon	3604	71	0	105	38	26	522	22	20	0	11	4419
Bratsche	568	16	0	18	46	0	145	19	0	0	0	812
Brendanconway	955	23	0	26	8	0	87	14	0	0	0	1113
BrendelSignature	3	0	0	74	5	4	105	8	0	0	0	199
Brian	6	2	0	3	0	1	2	1	0	0	0	15
Brian Kendig	28	3	0	5	6	0	2	0	0	0	0	44
Brian0918	931	79	0	258	47	4	2140	109	0	0	0	3568
Brianga	2282	9	0	1	1	1	442	7	5	0	0	2748
Briangotts	138	7	0	1	0	0	7	0	0	0	0	153
Brighterorange	181	11	0	1	0	0	21	1	0	0	0	215
Brion VIBBER	191	9	0	12	0	1	27	11	0	0	4	255
Brockert	189	51	0	3	3	0	31	30	0	0	0	307
BrokenSegue	1363	11	0	62	67	0	153	40	0	0	0	1696
Brookie	3997	53	0	212	3	0	229	4	0	0	0	4498
BrownHairedGirl	782	114	0	138	5	9	125	14	0	0	0	1187
Bryan Derksen	828	324	0	5	7	0	10	0	0	0	2	1176
Bubba hotep	2557	65	0	36	0	0	768	12	18	0	2	3458
Buchanan-Hermit	514	18	0	28	6	0	452	20	0	0	0	1038
Bucketsofg	643	22	0	66	6	0	224	8	0	0	0	969
Buckshot06	201	3	0	1	0	0	6	0	1	0	0	212
