User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
Aqwis	250	30	0	0	76	6	29	55	2	0	0	8	456
Aranel	1087	18	0	0	13	0	0	24	3	0	0	0	1145
Arbitrarily0	2386	307	0	0	58	2	11	0	0	0	0	117	2881
Arcadian	348	33	0	0	33	1	0	79	5	0	0	0	499
Archtransit	5	2	0	0	13	2	1	17	15	0	0	0	55
Arctic.gnome	395	67	0	0	30	5	3	26	1	3	0	3	533
Aris Katsaris	6	0	0	0	1	0	0	0	0	0	0	0	7
Arjun01	567	6	0	0	118	23	0	422	14	3	0	0	1153
Arminius	130	1	0	0	7	3	0	14	2	0	0	0	157
ArnoldReinhold	247	2	0	0	7	2	2	8	2	1	0	0	271
Arsenikk	448	2	0	0	2	0	0	1	0	0	0	1	454
Art LaPella	76	2	0	0	0	0	0	0	0	0	0	0	78
Arthur Rubin	558	61	59	0	51	11	6	474	52	17	0	2	1291
Aruk Besadii Aora	0	0	0	0	2	0	0	0	0	0	0	0	2
Arvindn	17	0	0	0	1	1	0	0	0	0	0	0	19
Arwel Parry	148	8	0	0	43	8	0	686	39	1	0	0	933
Asbestos	72	2	0	0	0	0	0	25	3	0	0	0	102
Asterion	97	7	0	0	72	8	3	126	15	0	0	1	329
AstroNomer	0	0	0	0	0	0	0	2	0	0	0	0	2
Astronautics	524	6	0	0	35	41	0	139	137	0	0	0	882
Atama	2632	48	27	0	39	7	3	199	80	23	0	1	3059
Athaenara	111819	433	0	0	36	2	2	54	6	2	0	0	112354
Atlant	92	1	0	0	11	0	0	573	20	2	0	0	699
AuburnPilot	3067	223	6	0	512	68	53	1152	140	25	0	20	5266
Audacity	23	2	0	0	2	1	0	1	1	0	0	0	30
Aude	1193	41	0	0	48	11	6	519	17	1	0	2	1838
Auntof6	0	0	0	0	0	0	0	0	0	0	0	1	1
Ausir	26	2	0	0	1	0	0	1	0	0	0	0	30
Avraham	1677	161	114	220	214	42	23	1384	138	87	514	164	4738
Awiseman	20	2	0	0	15	0	0	9	0	0	0	0	46
Awolf002	13	0	0	0	0	0	0	2	0	0	0	0	15
AxelBoldt	49	8	0	0	10	1	0	0	0	0	0	0	68
AzaToth	1900	133	8	0	125	43	35	174	26	1	0	8	2453
B	15275	262	32	0	331	28	37	886	106	12	0	13	16982
BD2412	5654	3314	4	0	62	16	3	247	24	5	0	0	9329
BOZ	50	522	0	0	63	6	12	3	0	0	0	0	656
Babajobu	298	3	0	0	1	1	0	21	3	2	0	0	329
Baboon Faceless	0	0	0	0	2	0	0	0	0	0	0	0	2
Backslash Forwardslash	4355	92	0	0	89	4	12	403	6	61	0	7	5029
Bahamut0013	1	0	0	0	1	0	0	0	0	0	0	1	3
Bald Zebra	674	17	0	0	28	2	0	11	1	2	0	0	735
Balloonman	370	16	0	0	14	2	2	53	9	4	0	2	472
Banes	62	7	0	0	2	0	0	158	2	0	0	0	231
Banno	10	5	0	0	9	2	0	50	2	0	0	0	78
BanyanTree	2270	69	1	0	204	245	6	412	11	0	0	0	3218
Barek	576	23	96	0	210	2	33	792	10	79	0	0	1821
Barneca	1231	47	0	0	110	11	14	1013	46	19	0	1	2492
Barneca sock 1	0	0	0	0	1	0	0	0	0	0	0	0	1
BaronLarf	211	26	0	0	26	1	1	190	1	2	0	0	458
Barras	1	0	0	0	0	0	0	7	0	0	0	0	8
Bastique	365	95	9	3	48	8	5	121	51	0	11	51	767
Bazonka	0	0	0	0	1	0	0	0	0	0	0	0	1
Bbatsell	391	9	0	0	18	2	0	350	18	0	0	0	788
Bcorr	131	9	0	0	10	1	0	67	10	0	2	1	231
Bdesham	27	0	0	0	3	0	0	0	0	0	0	0	30
Bduke	266	19	0	0	28	8	3	32	0	0	0	0	356
Bearcat	8410	427	21	0	287	24	11	99	8	2	0	0	9289
Bearian	1780	22	0	0	368	7	8	819	40	5	0	1	3050
Bedford	9	3	0	0	50	0	4	5	2	0	0	0	73
Beeblebrox	5938	61	133	1	826	23	106	1891	246	277	0	11	9513
Beetstra	1140	118	9	0	149	30	21	880	56	44	0	2	2449
Bel123456	0	0	0	0	1	0	0	0	0	0	0	0	1
Beland	200	1	0	0	14	12	1	12	0	0	0	0	240
Bellhalla	22	2	0	0	0	0	0	0	0	0	0	0	24
Ben MacDui	1083	8	0	0	23	0	1	31	1	0	0	0	1147
Bencherlite	5658	162	43	0	241	10	28	667	10	21	0	18	6858
Bencmq	2	1	0	0	0	0	0	0	0	0	0	0	3
Bennylin	1	0	0	0	0	0	0	0	0	0	0	0	1
Berig	28	0	0	0	2	0	2	10	0	0	0	2	44
Betacommand	7463	46	0	0	76	379	0	3297	120	0	0	0	11381
Bhadani	1308	7	0	0	95	19	1	479	10	1	0	0	1920
Bibliomaniac15	4439	28	0	0	243	37	25	1478	23	6	988	76	7343
BigDom	521	8	0	0	1	0	0	0	0	0	0	0	530
BigHaz	3194	2	0	0	8	6	0	33	2	0	0	0	3245
BigrTex	961	10	0	0	2	0	0	1	0	0	0	0	974
Bigtimepeace	566	9	0	0	5	1	1	81	4	2	0	1	670
Bill	0	0	0	0	1	0	0	0	0	0	0	0	1
Billinghurst	1403	12	25	0	14	0	0	229	15	16	0	6	1720
BillyH	48	2	0	0	0	1	0	1	0	0	0	0	52
BirgitteSB	176	7	0	0	0	0	0	2	1	0	0	1	187
Bishonen	601	77	0	0	214	48	11	585	210	3	0	0	1749
Bishzilla	53	11	0	0	16	2	2	24	6	0	0	5	119
Bjarki S	92	0	0	0	2	1	0	41	4	0	0	0	140
Bjelleklang	646	7	0	0	4	0	3	12	2	0	0	0	674
Bkell	1467	31	8	0	16	2	0	3	0	0	0	0	1527
Bkonrad	981	175	6	0	10	0	0	163	2	0	0	0	1337
Black Falcon	6449	88	1	0	3	1	0	29	1	0	0	0	6572
Black Kite	7393	221	67	0	588	63	79	1810	135	74	0	17	10447
Blankfaze	386	1	0	0	3	2	0	7	1	0	0	0	400
Blood Red Sandman	726	8	10	0	6	0	0	390	14	20	0	1	1175
Blubberboy92	0	0	0	0	1	0	0	0	0	0	0	0	1
Bluemoose	10610	47	0	0	27	10	0	93	18	0	0	0	10805
Blurpeace	384	21	34	0	16	3	4	63	3	2	0	10	540
Bmicomp	404	2	0	0	6	4	0	38	11	0	0	0	465
Bob the Wikipedian	3741	8	1	0	49	0	2	2	0	0	0	1	3804
Bobak	234	16	0	0	165	6	9	774	11	11	0	0	1226
Bobet	4966	181	0	0	56	18	1	225	10	0	0	0	5457
Bobo192	4961	3	0	0	2	3	0	2	0	0	0	0	4971
Bogdangiusca	3175	66	0	0	28	10	1	110	13	0	0	0	3403
Boing! said Zebedee	5998	78	80	0	262	23	23	606	80	208	0	2	7360
Bongwarrior	16001	78	178	0	1286	37	291	9808	43	300	0	5	28027
Bonkers Bobcat	0	0	0	0	1	0	0	0	0	0	0	0	1
Bookofjude	650	27	0	0	29	5	0	85	9	0	0	0	805
Bopped Kia	0	0	0	0	1	0	0	0	0	0	0	0	1
BorgHunter	660	27	0	0	55	19	1	117	28	0	0	0	907
BorgQueen	4141	76	0	0	1358	137	62	3682	171	25	0	0	9652
Borisblue	248	1	0	0	14	39	0	92	8	0	0	0	402
Bovlb	27	2	0	0	14	1	0	32	2	1	0	1	80
BozMo	293	6	2	0	21	4	3	163	18	0	0	0	510
BradBeattie	294	0	0	0	6	0	0	118	3	0	0	0	421
BradPatrick	17	0	0	0	4	0	0	5	0	0	0	0	26
Bradeos Graphon	4880	19	0	0	65	19	3	1214	80	0	0	0	6280
Brandon	3919	78	1	0	138	40	28	862	39	48	0	23	5176
Bratsche	568	16	0	0	18	46	0	145	19	0	0	0	812
Brendanconway	957	23	0	0	26	8	0	87	14	0	0	0	1115
BrendelSignature	5	0	0	0	74	5	4	105	8	0	0	0	201
Brian	11	3	0	0	3	0	1	3	1	0	0	0	22
Brian Kendig	28	3	0	0	5	6	0	2	0	0	0	0	44
Brian0918	932	79	0	0	258	47	4	2144	109	1	0	0	3574
Brianga	2313	9	0	0	1	1	1	469	7	5	0	0	2806
Briangotts	138	7	0	0	1	0	0	7	0	0	0	0	153
Brighterorange	181	12	0	0	1	0	0	21	1	0	0	0	216
Brion VIBBER	194	9	0	0	12	0	1	27	11	0	0	4	258
Brockert	190	51	0	0	3	3	0	31	30	0	0	0	308
BrokenSegue	1372	11	0	0	63	67	0	153	40	0	0	0	1706
Brookie	4402	58	5	0	308	5	4	776	9	46	0	0	5613
BrownHairedGirl	1914	194	0	0	161	9	12	143	18	4	0	0	2455
