User	DL	UD	RD	PT	UP	PM	BL	UB	BM	UR	RM	Total
Blankfaze	386	1	0	3	2	0	7	1	0	0	0	400
Blood Red Sandman	667	6	0	5	0	0	261	11	3	0	1	954
Blubberboy92	0	0	0	1	0	0	0	0	0	0	0	1
Blueboy96	1403	23	0	224	5	31	2789	127	127	0	0	4729
Bluemoose	10610	47	0	27	10	0	93	18	0	0	0	10805
Bmicomp	404	2	0	6	4	0	38	11	0	0	0	465
Bob the Wikipedian	1	0	0	0	0	0	0	0	0	0	0	1
Bobak	230	12	0	160	6	9	752	11	11	0	0	1191
Bobet	4965	181	0	56	18	1	224	10	0	0	0	5455
Bobo192	4959	3	0	2	3	0	2	0	0	0	0	4969
Bogdangiusca	3164	66	0	28	10	1	107	13	0	0	0	3389
Bongwarrior	8842	60	0	442	8	109	3727	35	114	0	2	13339
Bonkers Bobcat	0	0	0	1	0	0	0	0	0	0	0	1
Bookofjude	650	27	0	29	5	0	85	9	0	0	0	805
Bopped Kia	0	0	0	1	0	0	0	0	0	0	0	1
BorgHunter	598	25	0	54	19	1	117	28	0	0	0	842
BorgQueen	4057	43	0	1215	127	49	3525	168	20	0	0	9204
Borisblue	248	1	0	14	39	0	92	8	0	0	0	402
Bovlb	23	2	0	14	1	0	28	2	0	0	0	70
BozMo	290	6	0	17	3	1	143	15	0	0	0	475
BradBeattie	294	0	0	6	0	0	118	3	0	0	0	421
BradPatrick	17	0	0	4	0	0	5	0	0	0	0	26
Bradeos Graphon	4877	19	0	65	19	3	1211	79	0	0	0	6273
Brandon	3860	77	0	109	39	26	714	35	37	0	17	4914
Bratsche	568	16	0	18	46	0	145	19	0	0	0	812
Brendanconway	955	23	0	26	8	0	87	14	0	0	0	1113
BrendelSignature	3	0	0	74	5	4	105	8	0	0	0	199
Brian	6	2	0	3	0	1	2	1	0	0	0	15
Brian Kendig	28	3	0	5	6	0	2	0	0	0	0	44
Brian0918	931	79	0	258	47	4	2143	109	0	0	0	3571
Brianga	2305	9	0	1	1	1	456	7	5	0	0	2785
Briangotts	138	7	0	1	0	0	7	0	0	0	0	153
Brighterorange	181	12	0	1	0	0	21	1	0	0	0	216
Brion VIBBER	192	9	0	12	0	1	27	11	0	0	4	256
Brockert	189	51	0	3	3	0	31	30	0	0	0	307
BrokenSegue	1363	11	0	62	67	0	153	40	0	0	0	1696
Brookie	3998	53	0	212	3	0	229	4	0	0	0	4499
BrownHairedGirl	1105	118	0	142	6	9	128	16	1	0	0	1525
Bryan Derksen	828	324	0	5	7	0	10	0	0	0	2	1176
Bubba hotep	2638	69	0	38	3	2	779	12	18	0	4	3563
Buchanan-Hermit	514	18	0	28	6	0	452	20	0	0	0	1038
Bucketsofg	646	22	0	66	6	0	224	8	0	0	0	972
Buckshot06	323	4	0	5	0	1	10	0	1	0	0	344
Bumm13	842	39	0	6	1	0	32	4	2	0	5	931
Bunchofgrapes	738	10	0	62	44	0	203	37	0	0	0	1094
Burgundavia	1105	0	0	4	0	0	1	0	0	0	0	1110
Burstorder	0	0	0	2	0	0	0	0	0	0	0	2
Butseriouslyfolks	5143	83	0	36	3	1	137	15	0	0	0	5418
Bwilkins	163	0	0	15	0	3	16	7	2	0	1	207
C-3PO	0	0	0	3	0	0	0	0	0	0	0	3
C.Fred	8466	72	0	223	6	6	1623	34	20	0	0	10450
C12H22O11	1351	5	0	49	8	0	47	7	0	0	0	1467
CALR	29	0	0	0	0	0	1	0	0	0	0	30
CAT:TEMP deletion bot	2120	0	0	0	0	0	0	0	0	0	0	2120
CBDunkerson	3497	64	0	683	49	0	30	22	0	0	1	4346
CBM	4357	142	0	240	96	22	64	26	2	0	3	4952
CIreland	1156	32	0	177	12	24	379	18	12	0	1	1811
CJ	1927	79	0	112	22	3	277	18	0	0	1	2439
CJCurrie	400	19	0	126	8	2	127	13	0	0	0	695
CJLL Wright	1862	30	0	59	3	7	247	4	0	0	0	2212
CLW	13900	54	0	3	0	0	26	0	0	0	0	13983
CMBJ	0	0	0	1	0	0	0	0	0	0	0	1
COGDEN	59	16	0	2	0	0	4	0	1	0	0	82
CRGreathouse	10	0	0	0	0	0	1	1	1	0	0	13
CSTAR	58	5	0	6	3	0	93	3	0	0	0	168
CYD	1	0	0	1	0	0	0	0	0	0	0	2
Cactus.man	592	16	0	61	34	0	178	10	0	0	0	891
