User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
Auntof6	0	0	0	0	0	0	0	0	0	0	0	1	1
Ausir	26	2	0	0	0	0	0	1	0	0	0	0	29
Avraham	1648	160	105	208	208	42	20	1334	135	84	492	146	4582
Awiseman	20	2	0	0	15	0	0	9	0	0	0	0	46
Awolf002	13	0	0	0	0	0	0	2	0	0	0	0	15
AxelBoldt	44	6	0	0	9	1	0	0	0	0	0	0	60
AzaToth	1691	126	7	0	119	40	31	169	26	1	0	8	2218
B	14933	243	30	0	324	28	37	881	106	12	0	13	16607
BD2412	4923	2887	4	0	57	15	3	236	24	3	0	0	8152
BOZ	30	379	0	0	44	4	9	2	0	0	0	0	468
Babajobu	297	2	0	0	1	1	0	19	3	0	0	0	323
Baboon Faceless	0	0	0	0	2	0	0	0	0	0	0	0	2
Backslash Forwardslash	4355	92	0	0	89	4	12	403	6	61	0	7	5029
Bahamut0013	1	0	0	0	0	0	0	0	0	0	0	1	2
Balloonman	367	15	0	0	14	2	2	53	8	4	0	2	467
Banes	62	7	0	0	2	0	0	158	2	0	0	0	231
Banno	10	5	0	0	9	2	0	50	2	0	0	0	78
BanyanTree	2267	69	1	0	204	245	6	412	11	0	0	0	3215
Barek	198	14	44	0	86	1	17	349	6	41	0	0	756
Barneca	1231	47	0	0	110	11	14	1013	46	19	0	1	2492
Barneca sock 1	0	0	0	0	1	0	0	0	0	0	0	0	1
BaronLarf	211	26	0	0	26	1	1	190	1	2	0	0	458
Bastique	362	95	9	3	48	8	5	121	51	0	11	51	764
Bazonka	0	0	0	0	1	0	0	0	0	0	0	0	1
Bbatsell	391	9	0	0	18	2	0	350	18	0	0	0	788
Bcorr	131	9	0	0	10	1	0	67	10	0	2	1	231
Bdesham	27	0	0	0	3	0	0	0	0	0	0	0	30
Bduke	263	18	0	0	26	8	3	30	0	0	0	0	348
Bearcat	6852	346	10	0	214	18	9	93	8	2	0	0	7552
Bearian	1585	22	0	0	330	6	6	766	38	2	0	1	2756
Bedford	9	3	0	0	50	0	4	5	2	0	0	0	73
Beeblebrox	4721	34	63	1	660	19	81	1566	186	227	0	10	7568
Beetstra	1033	100	6	0	124	21	18	633	42	25	0	2	2004
Bel123456	0	0	0	0	1	0	0	0	0	0	0	0	1
Beland	197	1	0	0	14	12	1	11	0	0	0	0	236
Bellhalla	22	2	0	0	0	0	0	0	0	0	0	0	24
Ben MacDui	734	6	0	0	7	0	0	21	1	0	0	0	769
Bencherlite	4814	142	20	0	228	8	22	621	10	16	0	16	5897
Berig	28	0	0	0	2	0	2	10	0	0	0	2	44
Betacommand	7463	46	0	0	76	379	0	3297	120	0	0	0	11381
Bettia	620	16	0	0	21	2	0	11	1	2	0	0	673
Bhadani	1305	7	0	0	95	19	1	478	10	0	0	0	1915
Bibliomaniac15	4271	28	0	0	233	34	24	1450	23	5	925	66	7059
BigDom	399	3	0	0	1	0	0	0	0	0	0	0	403
BigHaz	3194	2	0	0	8	6	0	33	2	0	0	0	3245
BigrTex	960	10	0	0	2	0	0	1	0	0	0	0	973
Bigtimepeace	529	9	0	0	2	1	1	81	4	2	0	1	630
Bill	0	0	0	0	1	0	0	0	0	0	0	0	1
Billinghurst	1297	9	0	0	3	0	0	5	1	3	0	2	1320
BillyH	48	2	0	0	0	1	0	1	0	0	0	0	52
BirgitteSB	175	7	0	0	0	0	0	1	1	0	0	1	185
Bishonen	591	77	0	0	210	48	9	581	210	3	0	0	1729
Bishzilla	53	11	0	0	16	2	2	24	6	0	0	5	119
Bjarki S	92	0	0	0	2	1	0	41	4	0	0	0	140
Bjelleklang	642	7	0	0	4	0	3	12	2	0	0	0	670
Bkell	1402	22	4	0	10	0	0	2	0	0	0	0	1440
Bkonrad	844	132	1	0	4	0	0	156	2	0	0	0	1139
Black Falcon	5838	81	0	0	3	1	0	29	1	0	0	0	5953
Black Kite	6558	187	38	0	520	56	69	1577	123	62	0	15	9205
Blankfaze	386	1	0	0	3	2	0	7	1	0	0	0	400
Blood Red Sandman	724	7	10	0	6	0	0	387	14	20	0	1	1169
Blubberboy92	0	0	0	0	1	0	0	0	0	0	0	0	1
Blueboy96	1594	26	0	0	252	5	33	3195	130	173	0	0	5408
Bluemoose	10610	47	0	0	27	10	0	93	18	0	0	0	10805
Blurpeace	313	18	20	0	11	3	3	61	3	2	0	7	441
Bmicomp	404	2	0	0	6	4	0	38	11	0	0	0	465
Bob the Wikipedian	94	1	0	0	27	0	0	0	0	0	0	0	122
Bobak	234	14	0	0	164	6	9	773	11	11	0	0	1222
Bobet	4966	181	0	0	56	18	1	225	10	0	0	0	5457
Bobo192	4961	3	0	0	2	3	0	2	0	0	0	0	4971
Bogdangiusca	3165	66	0	0	28	10	1	108	13	0	0	0	3391
Boing! said Zebedee	983	25	5	0	9	1	2	84	7	18	0	0	1134
Bongwarrior	11457	65	56	0	675	20	175	5906	36	180	0	3	18573
Bonkers Bobcat	0	0	0	0	1	0	0	0	0	0	0	0	1
Bookofjude	650	27	0	0	29	5	0	85	9	0	0	0	805
Bopped Kia	0	0	0	0	1	0	0	0	0	0	0	0	1
BorgHunter	657	27	0	0	55	19	1	117	28	0	0	0	904
BorgQueen	4118	60	0	0	1334	137	56	3636	169	23	0	0	9533
