User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
BirgitteSB	175	7	0	0	0	0	0	1	1	0	0	1	185
Bishonen	591	77	0	0	210	48	9	582	210	3	0	0	1730
Bishzilla	53	11	0	0	16	2	2	24	6	0	0	5	119
Bjarki S	92	0	0	0	2	1	0	41	4	0	0	0	140
Bjelleklang	642	7	0	0	4	0	3	12	2	0	0	0	670
Bkell	1408	22	4	0	11	1	0	2	0	0	0	0	1448
Bkonrad	849	132	1	0	4	0	0	156	2	0	0	0	1144
Black Falcon	5892	81	0	0	3	1	0	29	1	0	0	0	6007
Black Kite	6558	187	38	0	520	56	69	1577	123	62	0	15	9205
Blankfaze	386	1	0	0	3	2	0	7	1	0	0	0	400
Blood Red Sandman	724	7	10	0	6	0	0	387	14	20	0	1	1169
Blubberboy92	0	0	0	0	1	0	0	0	0	0	0	0	1
Blueboy96	1594	26	0	0	252	5	33	3195	130	173	0	0	5408
Bluemoose	10610	47	0	0	27	10	0	93	18	0	0	0	10805
Blurpeace	328	18	24	0	12	3	3	61	3	2	0	7	461
Bmicomp	404	2	0	0	6	4	0	38	11	0	0	0	465
Bob the Wikipedian	149	4	0	0	27	0	1	0	0	0	0	0	181
Bobak	234	14	0	0	164	6	9	773	11	11	0	0	1222
Bobet	4966	181	0	0	56	18	1	225	10	0	0	0	5457
Bobo192	4961	3	0	0	2	3	0	2	0	0	0	0	4971
Bogdangiusca	3165	66	0	0	28	10	1	108	13	0	0	0	3391
Boing! said Zebedee	1562	30	10	0	29	2	5	131	10	44	0	1	1824
Bongwarrior	11648	65	57	0	701	20	181	6161	36	183	0	3	19055
Bonkers Bobcat	0	0	0	0	1	0	0	0	0	0	0	0	1
Bookofjude	650	27	0	0	29	5	0	85	9	0	0	0	805
Bopped Kia	0	0	0	0	1	0	0	0	0	0	0	0	1
BorgHunter	657	27	0	0	55	19	1	117	28	0	0	0	904
BorgQueen	4122	61	0	0	1335	137	56	3642	169	23	0	0	9545
Borisblue	248	1	0	0	14	39	0	92	8	0	0	0	402
Bovlb	24	2	0	0	14	1	0	29	2	1	0	1	74
BozMo	291	6	2	0	20	3	3	161	18	0	0	0	504
BradBeattie	294	0	0	0	6	0	0	118	3	0	0	0	421
BradPatrick	17	0	0	0	4	0	0	5	0	0	0	0	26
Bradeos Graphon	4880	19	0	0	65	19	3	1214	80	0	0	0	6280
Brandon	3915	77	1	0	115	39	26	823	38	48	0	21	5103
Bratsche	568	16	0	0	18	46	0	145	19	0	0	0	812
Brendanconway	957	23	0	0	26	8	0	87	14	0	0	0	1115
BrendelSignature	4	0	0	0	74	5	4	105	8	0	0	0	200
Brian	6	2	0	0	3	0	1	3	1	0	0	0	16
Brian Kendig	28	3	0	0	5	6	0	2	0	0	0	0	44
Brian0918	932	79	0	0	258	47	4	2144	109	1	0	0	3574
Brianga	2312	9	0	0	1	1	1	469	7	5	0	0	2805
Briangotts	138	7	0	0	1	0	0	7	0	0	0	0	153
Brighterorange	181	12	0	0	1	0	0	21	1	0	0	0	216
Brion VIBBER	193	9	0	0	12	0	1	27	11	0	0	4	257
Brockert	189	51	0	0	3	3	0	31	30	0	0	0	307
BrokenSegue	1363	11	0	0	63	67	0	153	40	0	0	0	1697
Brookie	4221	54	2	0	267	3	3	536	8	17	0	0	5111
BrownHairedGirl	1729	176	0	0	159	8	12	143	18	4	0	0	2249
Bryan Derksen	828	324	0	0	5	7	0	10	0	0	0	2	1176
Bsadowski1	1001	16	727	0	180	4	135	3066	36	556	0	9	5730
Bubba hotep	3312	72	9	0	60	3	7	1052	12	27	0	9	4563
Buchanan-Hermit	514	18	0	0	28	6	0	452	20	0	0	0	1038
Bucketsofg	651	22	0	0	66	6	0	224	8	0	0	0	977
Buckshot06	440	11	0	0	21	0	2	25	0	1	0	0	500
Bumm13	846	42	0	0	6	1	0	32	4	2	0	5	938
