User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
AxelBoldt	49	8	0	0	10	1	0	0	0	0	0	0	68
AzaToth	1909	133	8	0	125	43	37	175	26	1	0	8	2465
B	15276	262	32	0	333	28	38	886	106	12	0	13	16986
BD2412	5883	3398	4	0	62	16	3	249	24	6	0	1	9646
BOZ	52	570	0	0	66	6	12	3	0	0	0	0	709
Babajobu	298	3	0	0	1	1	0	21	3	2	0	0	329
Baboon Faceless	0	0	0	0	2	0	0	0	0	0	0	0	2
Backslash Forwardslash	4355	92	0	0	89	4	12	403	6	61	0	7	5029
Bagumba	3	1	0	0	26	2	6	17	4	2	0	0	61
Bahamut0013	1	0	0	0	1	0	0	0	0	0	0	1	3
Bald Zebra	674	17	0	0	28	2	0	11	1	2	0	0	735
Balloonman	370	16	0	0	14	2	2	53	9	4	0	2	472
Banes	62	7	0	0	2	0	0	158	2	0	0	0	231
Banno	10	5	0	0	9	2	0	50	2	0	0	0	78
BanyanTree	2270	69	1	0	204	245	6	412	11	0	0	0	3218
Barek	626	23	104	0	247	2	35	877	11	89	0	0	2014
Barneca	1231	47	0	0	110	11	14	1013	46	19	0	1	2492
Barneca sock 1	0	0	0	0	1	0	0	0	0	0	0	0	1
BaronLarf	211	26	0	0	26	1	1	190	1	2	0	0	458
Barras	1	0	0	0	0	0	0	7	0	0	0	0	8
Bastique	365	97	9	3	48	8	5	121	51	0	11	51	769
Bazonka	0	0	0	0	1	0	0	0	0	0	0	0	1
Bbatsell	391	9	0	0	18	2	0	350	18	0	0	0	788
Bbb23	491	2	5	0	89	5	13	281	6	14	0	0	906
Bcorr	131	9	0	0	10	1	0	67	10	0	2	1	231
Bdesham	27	0	0	0	3	0	0	0	0	0	0	0	30
Bduke	266	19	0	0	29	8	3	33	0	0	0	0	358
Bearcat	8572	502	22	0	293	24	11	99	8	2	0	0	9533
Bearian	1802	22	0	0	374	7	9	827	40	5	0	1	3087
Bedford	9	3	0	0	50	0	4	5	2	0	0	0	73
Beeblebrox	6294	72	149	1	877	24	114	1980	256	285	0	11	10063
Beetstra	1160	118	10	0	150	30	22	896	57	44	0	2	2489
Bel123456	0	0	0	0	1	0	0	0	0	0	0	0	1
Beland	201	1	0	0	14	12	1	12	0	0	0	0	241
Bellhalla	22	2	0	0	0	0	0	0	0	0	0	0	24
Ben MacDui	1117	8	0	0	24	0	1	31	1	0	0	0	1182
Bencherlite	6136	196	44	0	247	11	31	678	10	24	0	18	7395
Bencmq	2	1	0	0	0	0	0	0	0	0	0	0	3
Bennylin	1	0	0	0	0	0	0	0	0	0	0	0	1
Berean Hunter	22	14	2	0	36	0	12	383	3	32	0	0	504
Berig	38	0	0	0	2	0	2	10	0	0	0	2	54
Betacommand	7463	46	0	0	76	379	0	3297	120	0	0	0	11381
Bhadani	1313	7	0	0	98	19	1	479	10	1	0	0	1928
Bibliomaniac15	4441	28	0	0	243	37	25	1479	23	6	990	76	7348
BigDom	521	8	0	0	1	0	0	0	0	0	0	0	530
BigHaz	3194	2	0	0	8	6	0	33	2	0	0	0	3245
BigrTex	964	10	0	0	2	0	0	1	0	0	0	0	977
Bigtimepeace	566	9	0	0	5	1	1	81	4	2	0	1	670
Bill	0	0	0	0	1	0	0	0	0	0	0	0	1
Billinghurst	1422	12	26	0	14	0	0	280	15	17	0	7	1793
BillyH	48	2	0	0	0	1	0	1	0	0	0	0	52
BirgitteSB	176	7	0	0	0	0	0	2	1	0	0	1	187
Bishonen	644	78	0	0	215	48	12	586	210	4	0	0	1797
Bishzilla	53	11	0	0	16	2	2	24	6	0	0	5	119
Bjarki S	92	0	0	0	2	1	0	41	4	0	0	0	140
Bjelleklang	674	7	0	0	4	0	3	14	2	0	0	0	704
Bkell	1472	31	8	0	16	2	0	3	0	0	0	0	1532
Bkonrad	991	177	7	0	10	0	0	163	2	0	0	0	1350
Black Falcon	6523	88	1	0	3	1	0	29	1	0	0	0	6646
Black Kite	7543	226	78	0	614	66	87	1907	142	79	0	18	10760
Blankfaze	386	1	0	0	3	2	0	7	1	0	0	0	400
Blood Red Sandman	726	8	10	0	6	0	0	390	14	20	0	1	1175
Blubberboy92	0	0	0	0	1	0	0	0	0	0	0	0	1
Bluemoose	10610	47	0	0	27	10	0	93	18	0	0	0	10805
Blurpeace	403	25	35	0	18	3	4	65	3	3	0	10	569
Bmicomp	404	2	0	0	6	4	0	38	11	0	0	0	465
Bob the Wikipedian	3745	9	1	0	49	0	2	2	0	0	0	1	3809
Bobak	234	16	0	0	165	6	9	774	11	11	0	0	1226
Bobet	4966	181	0	0	56	18	1	225	10	0	0	0	5457
Bobo192	4961	3	0	0	2	3	0	2	0	0	0	0	4971
Bogdangiusca	3179	66	0	0	28	10	1	111	13	0	0	0	3408
Boing! said Zebedee	7426	88	94	0	351	26	23	810	92	261	0	3	9174
Bongwarrior	16699	85	204	0	1414	37	312	10732	43	321	0	6	29853
Bonkers Bobcat	0	0	0	0	1	0	0	0	0	0	0	0	1
Bookofjude	650	27	0	0	29	5	0	85	9	0	0	0	805
Bopped Kia	0	0	0	0	1	0	0	0	0	0	0	0	1
BorgHunter	660	27	0	0	55	19	1	117	28	0	0	0	907
BorgQueen	4146	76	0	0	1361	137	62	3683	171	25	0	0	9661
Borisblue	248	1	0	0	14	39	0	92	8	0	0	0	402
Bovlb	28	2	0	0	15	1	0	33	2	1	0	1	83
BozMo	293	6	2	0	21	4	3	163	18	0	0	0	510
BradBeattie	294	0	0	0	6	0	0	118	3	0	0	0	421
BradPatrick	17	0	0	0	4	0	0	5	0	0	0	0	26
Bradeos Graphon	4880	19	0	0	65	19	3	1214	80	0	0	0	6280
Brandon	3919	78	1	0	138	41	29	862	39	48	0	23	5178
Bratsche	568	16	0	0	18	46	0	145	19	0	0	0	812
Brendanconway	957	23	0	0	26	8	0	87	14	0	0	0	1115
BrendelSignature	5	0	0	0	74	5	4	105	8	0	0	0	201
Brian	11	3	0	0	3	0	1	3	1	0	0	0	22
Brian Kendig	28	3	0	0	5	6	0	2	0	0	0	0	44
Brian0918	932	79	0	0	258	47	4	2145	109	1	0	0	3575
Brianga	2316	9	0	0	1	1	1	469	7	5	0	0	2809
Briangotts	138	7	0	0	1	0	0	7	0	0	0	0	153
Brighterorange	181	12	0	0	1	0	0	21	1	0	0	0	216
Brion VIBBER	194	9	0	0	12	0	1	27	11	0	0	4	258
Brockert	190	51	0	0	3	3	0	31	30	0	0	0	308
BrokenSegue	1372	11	0	0	63	67	0	153	40	0	0	0	1706
Brookie	4430	58	5	0	315	5	4	822	9	47	0	0	5695
BrownHairedGirl	2290	201	0	0	163	10	12	143	18	4	0	0	2841
Bryan Derksen	828	324	0	0	5	7	0	10	0	0	0	2	1176
Bsadowski1	1252	21	912	0	323	8	239	4993	72	956	0	14	8790
Bubba hotep	3312	72	9	0	60	3	7	1052	12	27	0	9	4563
Buchanan-Hermit	514	18	0	0	28	6	0	452	20	0	0	0	1038
Bucketsofg	657	22	0	0	66	6	0	224	8	0	0	0	983
