User	DL	UD	RD	PT	UP	PM	BL	UB	BM	UR	RM	Total
Babajobu	297	2	0	1	1	0	19	3	0	0	0	323
Baboon Faceless	0	0	0	2	0	0	0	0	0	0	0	2
Backslash Forwardslash	4139	88	0	82	3	12	374	6	59	0	7	4770
Balloonman	271	12	0	13	2	1	50	8	4	0	2	363
Banes	62	7	0	2	0	0	158	2	0	0	0	231
Banno	10	5	0	9	2	0	50	2	0	0	0	78
BanyanTree	1868	63	0	202	245	4	396	11	0	0	0	2789
Barneca	1231	47	0	110	11	14	1013	46	19	0	1	2492
Barneca sock 1	0	0	0	1	0	0	0	0	0	0	0	1
BaronLarf	180	18	0	4	1	0	97	1	0	0	0	301
Bastique	353	92	0	48	8	4	121	51	0	6	51	734
Bazonka	0	0	0	1	0	0	0	0	0	0	0	1
Bbatsell	391	9	0	18	2	0	350	18	0	0	0	788
Bcorr	131	7	0	9	1	0	67	10	0	2	1	228
Bdesham	25	0	0	3	0	0	0	0	0	0	0	28
Bduke	258	18	0	24	7	3	24	0	0	0	0	334
Bearcat	3958	211	0	100	6	5	75	8	2	0	0	4365
Bearian	1034	19	0	205	4	2	666	33	2	0	1	1966
Bedford	9	3	0	50	0	4	5	2	0	0	0	73
Beeblebrox	917	0	0	244	5	30	261	3	15	0	1	1476
Beetstra	687	34	0	95	18	10	410	31	7	0	1	1293
Bel123456	0	0	0	1	0	0	0	0	0	0	0	1
Beland	193	1	0	14	12	1	11	0	0	0	0	232
Ben MacDui	356	2	0	2	0	0	8	0	0	0	0	368
Bencherlite	3986	98	0	184	5	14	540	8	11	0	11	4857
Berig	28	0	0	2	0	2	10	0	0	0	1	43
Betacommand	7463	46	0	76	379	0	3297	120	0	0	0	11381
Bettia	388	8	0	11	0	0	5	1	1	0	0	414
Bhadani	1301	7	0	95	19	1	478	10	0	0	0	1911
Bibliomaniac15	3960	26	0	219	31	19	1378	23	5	812	49	6522
BigHaz	3152	2	0	8	6	0	33	2	0	0	0	3203
BigrTex	960	10	0	2	0	0	1	0	0	0	0	973
Bigtimepeace	428	6	0	2	1	0	72	4	1	0	0	514
Bill	0	0	0	1	0	0	0	0	0	0	0	1
Billinghurst	998	3	0	2	0	0	4	0	3	0	0	1010
BillyH	47	2	0	0	1	0	1	0	0	0	0	51
BirgitteSB	168	7	0	0	0	0	1	1	0	0	1	178
Bishonen	574	75	0	196	47	7	571	209	1	0	0	1680
Bishzilla	53	11	0	16	2	2	24	6	0	0	5	119
Bjarki S	91	0	0	2	1	0	41	4	0	0	0	139
Bjelleklang	642	7	0	4	0	3	12	2	0	0	0	670
Bkell	1166	13	0	0	0	0	1	0	0	0	0	1180
Bkonrad	708	102	0	3	0	0	144	2	0	0	0	959
Black Falcon	4293	66	0	3	1	0	27	1	0	0	0	4391
Black Kite	4960	141	0	394	50	53	1274	102	30	0	15	7019
Blankfaze	386	1	0	3	2	0	7	1	0	0	0	400
Blood Red Sandman	663	5	0	5	0	0	242	10	2	0	1	928
Blubberboy92	0	0	0	1	0	0	0	0	0	0	0	1
Blueboy96	1309	23	0	216	5	31	2497	126	89	0	0	4296
Bluemoose	10610	47	0	27	10	0	93	18	0	0	0	10805
Bmicomp	404	2	0	6	4	0	38	11	0	0	0	465
Bobak	229	12	0	157	6	9	744	11	11	0	0	1179
Bobet	4965	181	0	56	18	1	224	10	0	0	0	5455
Bobo192	4955	3	0	2	3	0	2	0	0	0	0	4965
Bogdangiusca	3140	66	0	28	10	1	107	13	0	0	0	3365
Bongwarrior	8779	59	0	440	8	108	3691	34	111	0	2	13232
Bonkers Bobcat	0	0	0	1	0	0	0	0	0	0	0	1
Bookofjude	650	27	0	29	5	0	85	9	0	0	0	805
Bopped Kia	0	0	0	1	0	0	0	0	0	0	0	1
BorgHunter	597	25	0	54	19	1	117	28	0	0	0	841
BorgQueen	3995	37	0	1153	123	44	3435	168	19	0	0	8974
Borisblue	248	1	0	14	39	0	92	8	0	0	0	402
Bovlb	23	2	0	14	1	0	28	2	0	0	0	70
BozMo	285	6	0	15	3	0	122	13	0	0	0	444
BradBeattie	294	0	0	6	0	0	118	3	0	0	0	421
BradPatrick	17	0	0	4	0	0	5	0	0	0	0	26
Bradeos Graphon	4877	19	0	65	19	3	1211	79	0	0	0	6273
Brandon	3754	74	0	106	39	26	621	29	27	0	16	4692
Bratsche	568	16	0	18	46	0	145	19	0	0	0	812
Brendanconway	955	23	0	26	8	0	87	14	0	0	0	1113
BrendelSignature	3	0	0	74	5	4	105	8	0	0	0	199
Brian	6	2	0	3	0	1	2	1	0	0	0	15
Brian Kendig	28	3	0	5	6	0	2	0	0	0	0	44
Brian0918	931	79	0	258	47	4	2142	109	0	0	0	3570
Brianga	2283	9	0	1	1	1	445	7	5	0	0	2752
Briangotts	138	7	0	1	0	0	7	0	0	0	0	153
Brighterorange	181	12	0	1	0	0	21	1	0	0	0	216
Brion VIBBER	192	9	0	12	0	1	27	11	0	0	4	256
Brockert	189	51	0	3	3	0	31	30	0	0	0	307
BrokenSegue	1363	11	0	62	67	0	153	40	0	0	0	1696
Brookie	3997	53	0	212	3	0	229	4	0	0	0	4498
BrownHairedGirl	786	114	0	139	6	9	125	16	0	0	0	1195
Bryan Derksen	828	324	0	5	7	0	10	0	0	0	2	1176
Bubba hotep	2638	69	0	38	3	2	779	12	18	0	4	3563
Buchanan-Hermit	514	18	0	28	6	0	452	20	0	0	0	1038
Bucketsofg	644	22	0	66	6	0	224	8	0	0	0	970
Buckshot06	287	4	0	2	0	0	7	0	1	0	0	301
Bumm13	842	39	0	6	1	0	31	4	0	0	5	928
Bunchofgrapes	738	10	0	62	44	0	203	37	0	0	0	1094
