User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
Backslash Forwardslash	4355	92	0	0	89	4	12	403	6	61	0	7	5029
Balloonman	309	15	0	0	14	2	2	52	8	4	0	2	408
Banes	62	7	0	0	2	0	0	158	2	0	0	0	231
Banno	10	5	0	0	9	2	0	50	2	0	0	0	78
BanyanTree	2046	66	0	0	204	245	4	409	11	0	0	0	2985
Barek	13	2	0	0	4	0	1	26	0	1	0	0	47
Barneca	1231	47	0	0	110	11	14	1013	46	19	0	1	2492
Barneca sock 1	0	0	0	0	1	0	0	0	0	0	0	0	1
BaronLarf	211	26	0	0	26	1	1	190	1	2	0	0	458
Bastique	361	93	8	1	48	8	5	121	51	0	10	51	757
Bazonka	0	0	0	0	1	0	0	0	0	0	0	0	1
Bbatsell	391	9	0	0	18	2	0	350	18	0	0	0	788
Bcorr	131	8	0	0	9	1	0	67	10	0	2	1	229
Bdesham	26	0	0	0	3	0	0	0	0	0	0	0	29
Bduke	261	18	0	0	26	8	3	27	0	0	0	0	343
Bearcat	4823	259	0	0	128	9	6	84	8	2	0	0	5319
Bearian	1355	21	0	0	272	4	4	704	35	2	0	1	2398
Bedford	9	3	0	0	50	0	4	5	2	0	0	0	73
Beeblebrox	3382	22	9	0	541	13	63	1171	123	157	0	4	5485
Beetstra	828	90	1	0	107	21	15	517	32	13	0	1	1625
Bel123456	0	0	0	0	1	0	0	0	0	0	0	0	1
Beland	197	1	0	0	14	12	1	11	0	0	0	0	236
Bellhalla	22	2	0	0	0	0	0	0	0	0	0	0	24
Ben MacDui	543	6	0	0	4	0	0	13	1	0	0	0	567
Bencherlite	4383	120	6	0	198	5	14	584	10	12	0	14	5346
Berig	28	0	0	0	2	0	2	10	0	0	0	1	43
Betacommand	7463	46	0	0	76	379	0	3297	120	0	0	0	11381
Bettia	452	11	0	0	14	1	0	6	1	1	0	0	486
Bhadani	1302	7	0	0	95	19	1	478	10	0	0	0	1912
Bibliomaniac15	4094	26	0	0	230	33	21	1413	23	5	892	61	6798
BigHaz	3184	2	0	0	8	6	0	33	2	0	0	0	3235
BigrTex	960	10	0	0	2	0	0	1	0	0	0	0	973
Bigtimepeace	504	8	0	0	2	1	1	81	4	2	0	1	604
Bill	0	0	0	0	1	0	0	0	0	0	0	0	1
Billinghurst	1154	6	0	0	3	0	0	4	1	3	0	1	1172
BillyH	48	2	0	0	0	1	0	1	0	0	0	0	52
BirgitteSB	175	7	0	0	0	0	0	1	1	0	0	1	185
Bishonen	583	76	0	0	201	47	9	575	209	1	0	0	1701
Bishzilla	53	11	0	0	16	2	2	24	6	0	0	5	119
Bjarki S	92	0	0	0	2	1	0	41	4	0	0	0	140
Bjelleklang	642	7	0	0	4	0	3	12	2	0	0	0	670
Bkell	1298	13	0	0	1	0	0	2	0	0	0	0	1314
Bkonrad	768	117	0	0	3	0	0	148	2	0	0	0	1038
Black Falcon	5155	76	0	0	3	1	0	29	1	0	0	0	5265
Black Kite	5864	173	5	0	447	53	62	1465	109	43	0	15	8236
Blankfaze	386	1	0	0	3	2	0	7	1	0	0	0	400
Blood Red Sandman	686	6	0	0	5	0	0	284	12	7	0	1	1001
Blubberboy92	0	0	0	0	1	0	0	0	0	0	0	0	1
Blueboy96	1594	26	0	0	252	5	33	3195	130	173	0	0	5408
Bluemoose	10610	47	0	0	27	10	0	93	18	0	0	0	10805
Blurpeace	230	10	8	0	1	2	0	19	1	0	0	2	273
Bmicomp	404	2	0	0	6	4	0	38	11	0	0	0	465
