User	DL	UD	RD	ES	PT	UP	PM	BL	UB	BM	UR	RM	Total
Black Kite	7680	229	97	0	619	67	88	1953	142	83	0	18	10976
Blankfaze	386	1	0	0	3	2	0	7	1	0	0	0	400
Blood Red Sandman	726	8	10	0	6	0	0	390	14	20	0	1	1175
Blubberboy92	0	0	0	0	1	0	0	0	0	0	0	0	1
Bluemoose	10610	47	0	0	27	10	0	93	18	0	0	0	10805
Bluerasberry	0	0	0	0	0	0	0	0	0	0	0	1	1
Blurpeace	403	25	35	0	18	3	4	65	3	3	0	10	569
Bmicomp	404	2	0	0	6	4	0	38	11	0	0	0	465
Bob the Wikipedian	3756	9	1	0	49	0	2	2	0	0	0	1	3820
Bobak	234	16	0	0	168	6	9	774	11	11	0	0	1229
Bobet	4966	181	0	0	56	18	1	225	10	0	0	0	5457
Bobo192	4961	3	0	0	2	3	0	2	0	0	0	0	4971
Bogdangiusca	3182	66	0	0	28	10	1	112	13	0	0	0	3412
Boing! said Zebedee	7441	88	101	0	357	26	23	819	95	276	0	3	9229
Bongwarrior	17225	91	272	0	1491	40	326	11202	44	357	0	7	31055
Bonkers Bobcat	0	0	0	0	1	0	0	0	0	0	0	0	1
Bookofjude	650	27	0	0	29	5	0	85	9	0	0	0	805
Bopped Kia	0	0	0	0	1	0	0	0	0	0	0	0	1
BorgHunter	660	27	0	0	55	19	1	117	28	0	0	0	907
BorgQueen	4146	76	0	0	1361	137	62	3683	171	25	0	0	9661
Borisblue	248	1	0	0	14	39	0	92	8	0	0	0	402
Bovlb	30	2	0	0	18	1	1	34	2	1	0	1	90
BozMo	294	6	2	0	21	4	3	164	18	0	0	0	512
BradBeattie	294	0	0	0	6	0	0	118	3	0	0	0	421
BradPatrick	17	0	0	0	4	0	0	5	0	0	0	0	26
Bradeos Graphon	4880	19	0	0	65	19	3	1214	80	0	0	0	6280
Brandon	3921	78	1	0	138	41	29	871	39	48	0	23	5189
Bratsche	568	16	0	0	18	46	0	145	19	0	0	0	812
Brendanconway	957	23	0	0	26	8	0	87	14	0	0	0	1115
BrendelSignature	5	0	0	0	74	5	4	105	8	0	0	0	201
Brian	11	3	0	0	3	0	1	3	1	0	0	0	22
Brian Kendig	28	3	0	0	5	6	0	2	0	0	0	0	44
Brian0918	932	79	0	0	258	47	4	2145	109	1	0	0	3575
Brianga	2353	9	0	0	1	1	1	471	7	5	0	0	2848
Briangotts	138	7	0	0	1	0	0	7	0	0	0	0	153
Brighterorange	181	12	0	0	1	0	0	21	1	0	0	0	216
Brion VIBBER	194	9	0	0	12	0	1	27	11	0	0	4	258
Brockert	190	51	0	0	3	3	0	31	30	0	0	0	308
BrokenSegue	1374	11	0	0	63	67	0	153	40	0	0	0	1708
Brookie	4440	58	6	0	317	6	4	844	9	48	0	0	5732
BrownHairedGirl	2328	210	0	0	166	10	12	143	18	4	0	0	2891
Bryan Derksen	828	324	0	0	5	7	0	10	0	0	0	2	1176
Bsadowski1	1306	21	933	0	326	8	243	5170	75	985	0	14	9081
Bubba hotep	3312	72	9	0	60	3	7	1052	12	27	0	9	4563
Buchanan-Hermit	514	18	0	0	28	6	0	452	20	0	0	0	1038
Bucketsofg	657	22	0	0	66	6	0	224	8	0	0	0	983
Buckshot06	532	12	0	0	41	0	7	47	1	1	0	0	641
Bumm13	860	42	0	0	6	1	0	32	4	2	0	5	952
Bunchofgrapes	738	10	0	0	62	44	0	203	37	0	0	0	1094
Burgundavia	1105	0	0	0	4	0	0	1	0	0	0	0	1110
Burstorder	0	0	0	0	2	0	0	0	0	0	0	0	2
Butseriouslyfolks	5143	83	0	0	36	3	1	137	15	0	0	0	5418
Bwilkins	5327	61	5	0	220	4	20	628	128	251	0	19	6663
C-3PO	0	0	0	0	3	0	0	0	0	0	0	0	3
C.Fred	15259	140	149	0	333	9	12	2426	48	64	0	1	18441
C12H22O11	1357	5	0	0	49	8	0	47	7	0	0	0	1473
CALR	29	0	0	0	0	0	0	1	0	0	0	0	30
CAT:TEMP deletion bot	2120	0	0	0	0	0	0	0	0	0	0	0	2120
CBDunkerson	3506	64	0	0	683	49	0	32	22	0	0	1	4357
CBM	4557	166	5	0	267	101	25	93	32	4	0	59	5309
CIreland	1743	44	23	0	238	17	34	536	19	25	0	1	2680
CJ	1933	79	0	0	112	22	3	277	18	0	0	3	2447
CJCurrie	439	23	1	0	130	9	2	129	13	0	0	0	746
CJLL Wright	1872	30	0	0	61	3	7	256	4	0	0	0	2233
CLW	13930	54	0	0	3	0	0	26	0	0	0	0	14013
CMBJ	0	0	0	0	1	0	0	0	0	0	0	0	1
COGDEN	65	18	19	0	3	1	0	4	0	1	0	0	111
CRGreathouse	19	0	0	0	5	0	3	1	1	1	0	0	30
CSTAR	58	5	0	0	6	3	0	93	3	0	0	0	168
CT Cooper	1327	462	143	0	443	91	118	517	38	60	0	29	3228
CYD	1	0	0	0	1	0	0	0	0	0	0	0	2
Cactus.man	594	18	0	0	61	34	0	178	10	0	0	0	895
CactusWriter	6781	173	51	0	95	3	2	153	6	8	0	5	7277
Cacycle	189	11	0	0	26	2	1	13	1	0	0	1	244
Cailil	198	4	12	0	36	0	2	131	14	13	0	0	410
